Geolocation,Commodity,2010 Annual,2011 Annual,2012 Annual,2013 Annual,2014 Annual,2015 Annual,2016 Annual,2017 Annual,2018 Annual,2019 Annual,2020 Annual,2021 Annual,2022 Annual
..NATIONAL CAPITAL REGION (NCR),Ampalaya [Bitter gourd],29.98,39.23,35.47,38.58,35.42,46.81,42.19,39.8,..,50.32,65.83,51.39,65.34
..NATIONAL CAPITAL REGION (NCR),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,36.46,37.77
..NATIONAL CAPITAL REGION (NCR),Chayote,11.09,11.17,13.09,10.94,12.4,20.32,15.93,10.6,..,19.76,17.54,15.86,17.27
..NATIONAL CAPITAL REGION (NCR),Cucumber,26.45,27.07,26.58,29.36,27.88,36.13,32.95,29.08,..,43.98,41.4,36.14,46.52
..NATIONAL CAPITAL REGION (NCR),"Eggplant long, purple",15.2,32.59,28.1,26.21,28.79,30.77,33.67,30.21,..,33.7,43.07,47.12,49.8
..NATIONAL CAPITAL REGION (NCR),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,39.32,67.6
..NATIONAL CAPITAL REGION (NCR),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,49.83,47.4
..NATIONAL CAPITAL REGION (NCR),Okra,20.89,26.72,20.74,26.83,24.34,28.75,26.88,25.55,..,32.83,47.42,32.3,37.61
..NATIONAL CAPITAL REGION (NCR),"Patola [Dishrag gourd], native",14.77,18.8,12.85,18.8,20.79,22.25,22.04,15.43,..,37.37,34.85,48.15,..
..NATIONAL CAPITAL REGION (NCR),Squash,11.19,16.54,14.81,15.09,16.14,16.26,18.64,15.86,..,21.02,17.85,26.3,26.09
..NATIONAL CAPITAL REGION (NCR),Tomato,22.98,27.3,24.14,28.59,24.22,36.22,28.97,21.31,..,32.77,46.14,31.81,46.37
..NATIONAL CAPITAL REGION (NCR),"Tomato, green",..,..,..,..,..,..,..,..,..,..,..,31.47,47.11
..NATIONAL CAPITAL REGION (NCR),Upo [Bottle gourd],8.5,15.71,11.51,13.01,11.51,17.94,16.41,15.86,..,18.71,24.11,16.79,21.23
..CORDILLERA ADMINISTRATIVE REGION (CAR),Ampalaya [Bitter gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Chayote,9.85,10.62,11.37,9.54,10.28,15.44,14.38,10.55,24.36,16.66,13.03,20.81,15.72
..CORDILLERA ADMINISTRATIVE REGION (CAR),Cucumber,20.58,22.55,22.13,23.29,24.66,31.5,29.53,28.14,31.08,34.79,29.95,26.48,54.26
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Eggplant long, purple",..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Okra,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Patola [Dishrag gourd], native",..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Squash,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Tomato,28.94,..,33.27,31.31,28.75,35.33,34.49,31.67,51.59,26.58,36.43,37.21,49.93
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Tomato, green",..,..,..,..,..,..,35.36,32.65,38.63,29.4,36.95,36.86,50.51
..CORDILLERA ADMINISTRATIVE REGION (CAR),Upo [Bottle gourd],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),Ampalaya [Bitter gourd],25.09,37.35,35.27,33.52,29.39,43.41,39.89,33.71,46.7,34.55,42.53,41.62,39.62
..REGION I (ILOCOS REGION),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,32.31,42.94,39.78,34.79,44.85,36.61,41.25,39.68,45.46
..REGION I (ILOCOS REGION),Chayote,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),Cucumber,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),"Eggplant long, purple",14.08,30.35,25.46,20.85,24.96,30.07,30.81,27.74,40.81,29.54,30.95,34.08,30.31
..REGION I (ILOCOS REGION),"Eggplant native, round",17.99,39.98,28.16,23.6,28.96,33.16,35.18,29.84,39.5,29.61,36.68,46.56,47.83
..REGION I (ILOCOS REGION),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),Okra,15.88,20.63,17.77,14.8,17.58,22.69,20.23,15.4,26.68,25.41,30.66,25.04,25.9
