Geolocation,Commodity,2010 Annual,2011 Annual,2012 Annual,2013 Annual,2014 Annual,2015 Annual,2016 Annual,2017 Annual,2018 Annual,2019 Annual,2020 Annual,2021 Annual,2022 Annual
..NATIONAL CAPITAL REGION (NCR),"Banana Bungulan, ripe*",..,..,..,..,..,..,..,..,..,..,..,21.4,..
..NATIONAL CAPITAL REGION (NCR),"Banana Lakatan, ripe*",2.79,2.62,2.75,3.15,35.46,38.76,41.68,40.64,..,51.63,64.47,49.14,43.76
..NATIONAL CAPITAL REGION (NCR),"Banana Latundan, ripe*",1.63,1.84,1.74,2.17,26.09,27.02,30.39,29.64,..,35.45,43.33,35.39,33.03
..NATIONAL CAPITAL REGION (NCR),"Banana Saba, ripe*",1.36,1.34,1.29,1.37,14.66,19.17,24.62,22.64,..,22.16,30.97,27.17,26.89
..NATIONAL CAPITAL REGION (NCR),"Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,30.34,29.01
..NATIONAL CAPITAL REGION (NCR),Calamansi,24.62,36.25,32.9,32.67,34.72,26.46,40.78,37.18,..,34.83,35.07,41.68,49.59
..NATIONAL CAPITAL REGION (NCR),Mandarin Szinkom,..,..,..,..,..,30.93,36.29,33.54,..,28.91,40.12,27.97,27.69
..NATIONAL CAPITAL REGION (NCR),"Mango Carabao, green",..,..,..,..,..,..,..,..,..,..,..,90.03,93.25
..NATIONAL CAPITAL REGION (NCR),"Mango Carabao, ripe",48.22,46.96,47.27,47.61,51.06,64.03,70.19,72,..,94.82,99.99,102.53,103.66
..NATIONAL CAPITAL REGION (NCR),Muskmelon*,25.1,26.17,27.26,28.75,28.22,32.02,34.7,32.41,..,42.9,56.27,46.57,47.77
..NATIONAL CAPITAL REGION (NCR),Papaya Hawaiian*,18.99,16.31,17.83,18.4,20.11,22.16,27.87,23.61,..,27.79,30.03,28.91,33.57
..NATIONAL CAPITAL REGION (NCR),Pineapple Hawaiian*,22.69,21.53,23.05,24.32,24.75,36.49,36.89,34.04,..,36.54,42.77,38.6,37.31
..NATIONAL CAPITAL REGION (NCR),Watermelon*,47.47,56.39,49.86,18.6,29.54,52.34,23.53,27.22,..,29.57,28.95,28.9,31.37
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Banana Bungulan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Banana Lakatan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Banana Latundan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Banana Saba, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Calamansi,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Mandarin Szinkom,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Mango Carabao, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Mango Carabao, ripe",..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Muskmelon*,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Papaya Hawaiian*,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Pineapple Hawaiian*,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Watermelon*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),"Banana Bungulan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),"Banana Lakatan, ripe*",3.06,2.91,2.74,2.94,35.56,34.88,42.34,35.16,41.67,50.95,54.37,51.33,48.96
..REGION I (ILOCOS REGION),"Banana Latundan, ripe*",2.16,2.16,1.87,1.92,22.07,23.72,25.29,23.49,23.05,36.09,37.33,33.49,28.91
..REGION I (ILOCOS REGION),"Banana Saba, ripe*",1.25,1.37,1.61,1.72,17.31,17.9,20.93,22.19,22.88,29.67,23.61,20.76,17.07
..REGION I (ILOCOS REGION),"Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),Calamansi,26.81,36.21,30.12,30.22,32.3,26.02,33.08,29.68,45.47,34.67,32.36,39.39,43.24
..REGION I (ILOCOS REGION),Mandarin Szinkom,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),"Mango Carabao, green",30.19,24.8,33.17,33.97,35.41,36.28,41.46,58.67,76.85,80.4,74.05,..,..
..REGION I (ILOCOS REGION),"Mango Carabao, ripe",..,36.71,..,37.94,39.37,30.55,32.04,68.33,..,141.34,77.59,..,..
..REGION I (ILOCOS REGION),Muskmelon*,21.69,22.23,21.65,18.65,17.31,20.07,21.54,..,..,..,..,..,..
..REGION I (ILOCOS REGION),Papaya Hawaiian*,..,..,..,..,..,..,27.26,27.93,27.87,31.14,28,..,..
..REGION I (ILOCOS REGION),Pineapple Hawaiian*,15.94,23.77,21.25,20.23,18.34,20.15,22.82,23.6,24.81,34.32,..,..,..
..REGION I (ILOCOS REGION),Watermelon*,47.23,46.71,49.42,45.34,31.81,23.98,23.53,30.97,29.55,30.5,21.13,..,..
..REGION II (CAGAYAN VALLEY),"Banana Bungulan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),"Banana Lakatan, ripe*",2.19,2.51,2.43,2.65,50.16,42.14,51.23,41.97,36.62,43.78,40.75,39.96,37.54
..REGION II (CAGAYAN VALLEY),"Banana Latundan, ripe*",1.37,1.54,1.61,1.62,28.47,27.44,31.2,22.48,16.64,21.13,28.73,24.36,27.72
..REGION II (CAGAYAN VALLEY),"Banana Saba, ripe*",1.08,1.35,1.44,1.5,15.65,15.64,18.99,26.05,14.87,19.81,20.81,17.31,13.88
..REGION II (CAGAYAN VALLEY),"Banana Saba, Green",..,..,..,..,8.84,9.43,13.24,17.69,14.28,26.75,20.64,15.98,10.02
..REGION II (CAGAYAN VALLEY),Calamansi,29.38,34.7,34.68,31.03,32.76,27.92,33.74,32.36,41.32,36.58,32.35,48.76,48.31
..REGION II (CAGAYAN VALLEY),Mandarin Szinkom,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),"Mango Carabao, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),"Mango Carabao, ripe",42.75,..,..,..,53.54,79.83,86.75,84.6,84.58,76.14,63.89,101.94,112.96
..REGION II (CAGAYAN VALLEY),Muskmelon*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),Papaya Hawaiian*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),Pineapple Hawaiian*,..,..,..,..,33.27,29.82,33.53,33.53,34.7,43.66,46.07,38.92,..
..REGION II (CAGAYAN VALLEY),Watermelon*,..,..,..,..,..,..,..,..,..,77.28,67.36,82.57,70.05
..REGION III (CENTRAL LUZON),"Banana Bungulan, ripe*",1.16,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),"Banana Lakatan, ripe*",1.94,2.8,2.42,2.38,45.41,47.82,48.23,48.8,50.74,55.17,66.5,62.89,56.33
..REGION III (CENTRAL LUZON),"Banana Latundan, ripe*",1.46,1.89,1.87,1.83,30.93,28.65,36.16,37.35,41.46,45.31,44.93,44.53,40.02
..REGION III (CENTRAL LUZON),"Banana Saba, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),"Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Calamansi,25.9,40.71,39.07,37.95,40.64,32.36,32.28,32.64,39.25,35.36,34.32,47.89,55.08
..REGION III (CENTRAL LUZON),Mandarin Szinkom,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),"Mango Carabao, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),"Mango Carabao, ripe",..,44.37,50.3,44.54,62.22,70.74,73.72,71.97,99.93,99.11,117.96,142.55,125.93
..REGION III (CENTRAL LUZON),Muskmelon*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Papaya Hawaiian*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Pineapple Hawaiian*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Watermelon*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),"Banana Bungulan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),"Banana Lakatan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),"Banana Latundan, ripe*",2.07,2.2,1.69,1.07,18.89,25.2,24.59,23.7,26.29,29.74,37.92,35.58,31.83
..REGION IV-A (CALABARZON),"Banana Saba, ripe*",1.2,1.3,1,0.94,16.75,23.73,18.37,15.2,14.13,16.84,21.71,22.56,20.08
..REGION IV-A (CALABARZON),"Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),Calamansi,22.41,35.42,28.83,32.99,33.82,35.14,36.67,36.31,41.21,40.55,42.05,52.33,57.11
..REGION IV-A (CALABARZON),Mandarin Szinkom,..,10.8,..,16.43,16.84,23.86,19.92,17.6,22.1,27.78,29.7,30.98,29.28
..REGION IV-A (CALABARZON),"Mango Carabao, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),"Mango Carabao, ripe",..,..,..,..,35.56,32.98,71.29,..,..,..,..,..,..
..REGION IV-A (CALABARZON),Muskmelon*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),Papaya Hawaiian*,..,15.33,19.5,17.99,19.12,20.32,20.23,18.63,26.92,28.15,25.98,33.65,25.67
..REGION IV-A (CALABARZON),Pineapple Hawaiian*,..,..,12.92,24.47,23.66,32.46,41.55,36.89,34.69,44.08,43.14,56.9,54.57
..REGION IV-A (CALABARZON),Watermelon*,25.22,..,..,27.62,28.46,48.29,74.3,55.68,41.79,35.81,69.63,108.33,..
..MIMAROPA REGION,"Banana Bungulan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
