Geolocation,Commodity,2010 Annual,2011 Annual,2012 Annual,2013 Annual,2014 Annual,2015 Annual,2016 Annual,2017 Annual,2018 Annual,2019 Annual,2020 Annual,2021 Annual,2022 Annual
..NATIONAL CAPITAL REGION (NCR),Chicken egg*,3.6,3.59,3.58,3.63,4.26,4.26,4.44,4.27,..,5.14,5.31,4.3,5.65
..NATIONAL CAPITAL REGION (NCR),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,10.15,12.47
..CORDILLERA ADMINISTRATIVE REGION (CAR),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),Chicken egg*,4.19,4.06,4.01,4.01,4.21,4.46,4.6,5.02,4.76,5.09,5.62,5.97,6.44
..REGION I (ILOCOS REGION),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),Chicken egg*,..,4.41,4.37,4.43,4.44,25,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Chicken egg*,4.84,4.27,4.31,4.3,4.5,4.88,4.89,5.3,5.21,5.75,6.25,6.08,6.61
..REGION III (CENTRAL LUZON),"Duck Eggs, Fresh",..,..,..,..,7,7,6.89,7.18,6.81,7.09,6.69,6.58,7.35
..REGION IV-A (CALABARZON),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IV-A (CALABARZON),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..
..MIMAROPA REGION,"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION V (BICOL REGION),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION V (BICOL REGION),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VI (WESTERN VISAYAS),Chicken egg*,..,..,..,..,..,..,..,..,..,5.8,..,..,..
..REGION VI (WESTERN VISAYAS),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VII (CENTRAL VISAYAS),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VII (CENTRAL VISAYAS),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION VIII (EASTERN VISAYAS),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION IX (ZAMBOANGA PENINSULA),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Chicken egg*,4.59,4.5,4.74,4.69,4.77,5.23,5.48,5.86,5.69,5.59,5.91,6.14,5.73
..REGION XI (DAVAO REGION),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..
..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..
