Geolocation,Commodity,2010 Annual,2011 Annual,2012 Annual,2013 Annual,2014 Annual,2015 Annual,2016 Annual,2017 Annual,2018 Annual,2019 Annual,2020 Annual,2021 Annual,2022 Annual
..NATIONAL CAPITAL REGION (NCR),Alumahan [Indian mackerel],83.84,92.24,106.88,101.53,108.61,82.4,207.35,..,..,..,..,293.33,..
..NATIONAL CAPITAL REGION (NCR),Bangus [Milkfish],77.83,74.46,101.17,88.1,80.1,88.47,95.74,88.98,..,113.27,129.64,143.26,157.15
..NATIONAL CAPITAL REGION (NCR),Bisugo [Threadfin bream],103.93,118.29,113.62,114.79,101.41,100.26,167.61,161.36,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),"Crab, Alimasag [Blue crab]",181.92,197.75,198.48,189.8,182.48,210.94,189.22,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),"Dalagang-Bukid, bilog [Caesio]",91.13,106.7,109.4,105.86,95.43,100.21,119.81,120.38,..,135.68,141.41,160.31,173.2
..NATIONAL CAPITAL REGION (NCR),"Dalagang-Bukid, lapad [Caesio]",112.48,129.66,134.28,134.68,123.86,130,165.22,..,..,124.19,133.43,200,..
..NATIONAL CAPITAL REGION (NCR),Dilis [Anchovies],62.86,..,..,..,..,150,116.73,78.63,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Espada [Hairtail],..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Galunggong [Roundscad],66.67,84.9,82,74.7,73.66,64.51,73.06,68.8,..,85.48,132.84,170.76,164.73
..NATIONAL CAPITAL REGION (NCR),Hasa-hasa [Indo-Pacific mackerel],106.77,100.82,138.9,134.11,..,..,208.36,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Kalaso [Lizard fish],..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Lapu-lapu [Grouper],220.4,227.57,234.4,224.78,239.18,225.75,230.13,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),"Lapu-lapu [Grouper], other than red species",..,..,..,..,..,..,253.57,256.63,..,..,320,336.67,443.33
..NATIONAL CAPITAL REGION (NCR),Matang-baka [Big-eyed scad],70.05,73.41,81.6,79.6,78.52,84.75,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Pusit [Squid],140.81,164.7,163.08,164.77,170.45,160.16,172.25,188.28,..,252.55,242.54,267.1,271.31
..NATIONAL CAPITAL REGION (NCR),Salay-salay [Crevalle],..,..,..,..,..,..,214.16,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Sapsap [Slipmouth],108.55,111.73,110.51,169.69,..,..,293.88,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),"Shrimp, Suaje [Endeavor prawn]",241.71,261.39,240.95,227.24,259.31,272.07,317.79,312.73,..,..,..,373.64,..
..NATIONAL CAPITAL REGION (NCR),"Shrimp, Sugpo [Tiger prawn]",354.88,387.82,361.31,397.49,451.02,416.88,431.71,522.8,..,542.22,503.33,469.86,629.03
..NATIONAL CAPITAL REGION (NCR),Talakitok [Cavalla],120.98,147.3,141.15,143.14,139.36,161.67,303.41,..,..,..,..,..,..
