Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December
..NATIONAL CAPITAL REGION (NCR),Habitchuelas [Snap beans],20.51,27.28,39.31,28.01,28.09,31.17,27.8,14.9,18.6,44.17,54.01,29.87,21.4,22.46,20.25,25.15,42.2,51.34,32.97,36.04,43.31,75.7,36.48,36.44,30.58,39.96,35.32,22.71,30.22,35.11,32.26,52.83,37.83,27.41,37.56,35.84,34.91,23.63,28,30.81,41.24,35.68,25.07,35.92,55.88,50.56,33.08,30.56,27.96,29.73,29.89,37.98,29.98,36,38.13,43.11,32.19,33.54,25.61,..,..,29.83,26.65,33.01,..,..,52.08,37.38,37.95,..,89.32,35.95,28.46,31.6,33.75,38.2,61.38,..,26.39,58.43,..,..,..,..,33.28,41.19,32.49,32.71,30.48,54.45,44.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.96,36.3,63.53,67.06,40.1,..,54.6,66.31,..,43.59,..,39.48,39.89,40.48,68,83.67,41.53,29.58,45.89,..,..,117.53,108.69,40.58,45.88,..,41.43,55.63,93,51.42,..,42.57,..,..,40.66,..,..,47.4,41.86,..,..,70.6,47.31,..,..,81.77,69.12
..NATIONAL CAPITAL REGION (NCR),"Kidney Beans, white",36.67,36.67,36.67,38.67,38.67,38.67,39.63,42.67,44.67,44.67,45,45.33,45.33,45.33,42.22,41.33,42,42,42,42,44,44.5,47.56,48,47.44,46.25,46.25,46.25,46.25,46.25,48.44,48.5,48.5,48.5,54.38,58.25,57.75,57.75,57.75,57.75,57.75,57.75,58.5,60,..,..,..,..,..,..,..,81.75,79.11,81.75,82.22,86,86,89.2,89.2,..,89.63,..,..,..,..,..,70.78,73.25,73.75,..,74.13,71.25,73.05,59.05,67.93,47.41,64.83,..,45.6,..,..,..,..,..,46.68,55.1,55.4,85.79,84.12,82.89,51.38,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.68,68.2,78,69.38,80,..,80,73.75,..,80,..,78.3,67.13,76.6,78.6,78.03,67.2,67.2,67.2,..,..,68.37,75.43,75.43,80.42,85.38,85.38,86.03,87.61,86.5,..,84.72,78.67,75.63,82.7,..,74.4,77.93,72.98,..,..,78.6,76.82,..,..,80.2,80.2
..NATIONAL CAPITAL REGION (NCR),"Mongo [Mungbean], green",63.88,64,64,64.83,66,66,66,66.34,67,66,65.63,68,69.5,70,70,69.44,66.34,65.5,65.5,65.5,65.5,63.44,62.61,59,55.63,55,55,55,54.33,52,52,48,48,48,48,32,47.75,49.72,50.6,50.13,50,50,50,50.75,56.38,60.33,63,66.25,66.25,66.25,62.11,64.72,62.75,62.75,62.75,62.75,62.75,63.7,63.83,..,70.14,69.32,68.85,..,..,..,71.36,71.41,70.35,..,69.8,68.76,67.74,64.21,64.09,62.99,64.28,..,62.83,87.88,..,..,..,..,67.16,74.56,74.82,74.42,67.4,65.64,68.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.01,61.5,62.66,61.28,59.66,..,64.96,65.2,..,64.81,..,68.31,71.48,73.54,99.94,99.11,83.04,78.71,80.08,..,..,70.72,73.03,73.48,76.88,75.71,74.48,72.15,72.02,72.64,..,79.63,78.37,78.11,77.87,..,74.72,80.47,80.69,..,..,72.84,77.45,..,..,90.01,89.91
..NATIONAL CAPITAL REGION (NCR),"Mongo [Mungbean], Yellow",70.67,70.67,70.67,72.56,74.14,74.33,74.78,83.08,93.48,94.67,94.67,94.67,94.67,94.67,94.67,93.67,89.83,89.33,89.33,89.33,89.33,91.38,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,76.67,73.23,61.19,57.6,59.7,58.25,58.25,58.25,58.25,58.25,..,..,..,72.71,78.25,79.03,80,75,80,80,80,80,80,80,80,80,..,85,71.77,..,75.85,..,..,75.33,72.88,72.63,..,80.5,68.76,79.78,83.3,82.73,..,..,..,83.89,109.83,..,..,..,..,84.9,98.53,99.13,97,96.26,95.8,94.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.25,79.4,78.63,79.2,79.2,..,79.2,79.3,..,79.6,..,78.1,77,77,..,77,77,76.56,76.98,..,..,77,77,77,77,77,77,77,77,77,..,77,77,77,77,..,77,77,77,..,..,77,77.17,..,..,78,78
..NATIONAL CAPITAL REGION (NCR),"Peanut with shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.68,65.86,45.74,49.41,59,..,53.46,63.81,..,67.07,..,56.18,53.3,48.48,68.24,..,80,65.6,69.06,..,..,55.23,60.5,64.32,50.71,42.85,51.45,48.88,49.45,52.55,..,51.33,51.35,53.21,54.23,..,44.86,52.91,47.34,..,..,57.32,52.6,..,..,51.28,55.48
..NATIONAL CAPITAL REGION (NCR),"Peanut without shell, dry",54.25,54.5,55.67,55.67,55.67,55.67,55.67,60.67,60.67,61.22,61.67,64.67,64.67,64.67,64.67,64.67,64.67,64.67,64.67,64.67,65.56,67.42,68.67,68.67,68.67,69.78,70.67,70.67,70.89,71.67,71.67,67.33,67.33,66.33,66.33,66.33,66.33,66.33,66.33,66.33,66.33,66.33,66.33,66.33,63.17,60.44,59.57,61,61,61,54.19,55.8,54.77,54.44,54.44,54.44,54.44,59.83,65.46,..,67,90,..,..,..,..,90,90,90,..,91.5,90,80.5,74.45,..,72.82,78.38,..,86.22,86.31,..,..,..,..,85.35,73.94,70.47,67.32,55.49,65.73,72.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.86,71.36,72.8,..,79.4,79.4,..,77.51,..,73,66.6,66.6,..,72.68,66.6,74.84,65.8,..,..,65.8,..,65.8,65.8,65.8,65.8,73.54,76.96,76.4,..,77.12,76.58,76.81,77.5,..,73.39,76.2,72,..,..,77.7,79.01,..,..,102.37,104.58
..NATIONAL CAPITAL REGION (NCR),Stringbeans,29.9,29.15,30.4,29.79,31.19,28.18,28.9,24.73,21.93,29.52,38.57,27.57,30.72,29.17,28.97,29.72,44.67,30.62,29.86,31.19,33.08,41.93,34.87,33.24,31.45,33.13,37.12,31.23,25.4,20.39,22.67,46.22,38.71,27.25,25.09,36.43,37.12,32.02,39,31.34,31.21,34.87,30.28,24.36,34.16,55.56,39.28,34.27,35.8,33.36,36.25,31.96,29.72,31.01,40.41,39.07,38.35,24.84,25.24,..,..,40.3,37.49,31.55,..,..,46.29,33.63,26.83,..,48.64,61.43,50.03,39.48,32.5,37.94,46.73,..,26.96,60.5,..,..,..,..,51.94,35.98,38,36.51,31.71,34.06,30.69,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.04,47.8,40.49,45.54,48.61,..,45.97,55.93,..,47.83,..,45.15,62.29,60.05,66.47,70.8,40.84,28.43,36.75,..,..,87.99,84.31,57.2,48.1,56.83,51.06,53.53,..,59.8,..,..,49.96,40.99,..,..,53.26,31.99,36.07,..,..,43.56,37.11,..,..,82,65.21
..NATIONAL CAPITAL REGION (NCR),Sweet Peas,55.74,66.35,97.58,118.18,105.5,94.18,94.33,125.5,105.5,124.61,147.03,126.61,57,65.9,69.8,70.8,104.43,177.84,145.1,101.81,212.74,310.92,149.29,108.31,74.26,79.49,97.55,85.79,79.26,126.6,163.66,176.35,130.11,170.87,113.83,107.96,81.11,70.78,80.43,80.23,131.15,120.96,135.07,169.78,226.19,159.7,95.41,89.23,81.08,78.89,69.46,119.98,141.11,108.98,103.1,125.73,139.33,163.6,122.79,..,..,68.65,69.45,103.53,..,..,132.41,144.4,171.95,..,149.47,105.88,85.64,84.56,92.56,116.39,162.5,..,143.11,215.14,..,..,..,..,89.5,101.13,123.63,137.86,133.87,234.11,192,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117.06,105,114,219.9,234.75,..,221.22,217.25,..,189.56,..,101.3,123.27,96.75,140.33,209.08,183.78,158.24,215,..,..,298.4,239.88,179.87,153,..,165.41,179.17,225.38,254.8,..,..,334.04,..,239.88,..,..,99.25,201.3,..,..,220.58,310.08,..,..,217.11,189.58
..NATIONAL CAPITAL REGION (NCR),Sweet Peas Native,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86,..,..,..,..,..,87.6,70,..,..,..,..,..,193.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Habitchuelas [Snap beans],12.38,18.57,24.83,20.47,21.31,27.69,20.2,17.6,17.38,36.33,55,22.48,16.5,15.8,15.05,17.31,31.46,43.03,30.52,32.69,46.55,87.25,31.85,24.45,23.18,32.85,31.16,16.86,17.8,29.52,34.69,51.64,37.35,24.97,28.03,27.49,26.58,19.83,24.07,28.58,28.34,29.2,24.54,23.82,50.88,47.46,23.78,27.35,25.83,23.2,27.78,29.43,26.71,30,30.84,38.71,35,38.99,27.2,24.44,26.73,24.44,23.05,29.04,38.37,33.45,42.72,41.51,60.31,57.94,57.42,40.35,26.25,27.78,29.28,35.97,49.83,36.93,18.51,29.46,44.96,66.07,62.82,37.42,25.32,31.05,26.57,26.64,27.17,40.76,35.23,37.47,41.92,41.32,37.89,49.15,41.72,31.18,29.23,21.25,..,51.31,57.95,48.69,84.5,73.15,46.38,30.96,40.43,34.18,30.83,43.45,51.86,..,38.02,49.95,54.88,46.7,39.85,41.89,28.33,33.25,36.71,50.24,52.86,32.18,22.02,35.53,51.11,65.89,86.63,79,..,27.23,..,..,..,59,40.51,45.91,..,..,..,..,..,..,44.56,..,..,..,45,..,47.11,76.95,76.56,52.22
