Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December
..NATIONAL CAPITAL REGION (NCR),Garlic Taiwan (Imported),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.95,151.12,233.16,127.77,68.37,64.3,64.42,58.93,..,..,56.63,55.98,59.43,..,..,59.99,62.86,69.84,..,73.11,83.25,91.87,89.38,106.14,111.7,123.46,..,107.22,146.29,..,..,..,..,122.88,125.78,118.91,149.27,156.61,86.39,63.73,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.95,63.1,72.52,94.9,92.93,..,88.48,80.84,..,82.19,..,93.85,122.39,107.55,124.63,89.02,63.78,52.53,56.53,..,55.83,61.23,65.7,66.49,72.24,69.37,71.36,71.46,71.6,73.69,..,79.16,74.56,76.81,78.57,..,73.73,76.21,69.89,..,..,72.29,72.67,..,..,65.49,64.47
..NATIONAL CAPITAL REGION (NCR),Garlic,123.55,135.71,135.71,132.31,123.28,124.12,124.85,121.46,119.81,115.91,110,110.32,109.57,110,117,117.5,118.89,121.79,130.68,132,128.44,128,127.57,136.03,136.43,137.46,137.79,137.86,137.91,137.78,137.5,138,139,130,130,130,130,132.67,118.08,116.67,116.67,123.2,115,115,125,125,125,125,125,125,109.38,127.22,199.07,218.13,233.46,236.25,236.28,243.33,243.33,..,..,83.9,..,..,..,..,112,102.09,98.11,..,103.9,94.19,87.66,84.07,70.38,113,119.02,..,95.56,205.19,..,..,..,..,..,..,133.14,159.08,173.38,173.89,173.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,201.25,201.25,173.69,179.59,185.43,..,198.38,201.25,..,201.25,..,201.25,208.42,204.35,176.67,214,218,218,218,..,209.42,207.97,208.75,212.86,217.33,211.29,198.75,198.75,199.33,192.08,..,200.81,206,203.29,203,..,183.91,198.12,188.75,..,..,198.75,197.58,..,..,199.42,190
..NATIONAL CAPITAL REGION (NCR),Ginger Hawaiian,40.24,36.64,44.4,71.6,78.6,84.32,79.33,64.06,63.17,47.31,40.58,34.61,32.4,34.48,34.62,34,35.66,35.83,35.38,35.2,35.31,34.45,31.98,31.7,26.55,23.89,23.21,24.11,21.5,20.9,20.86,20.32,21,20.88,20.91,20.63,26.02,26.43,27.1,28.09,36.83,42.65,41.11,49.09,51.06,51.88,46.91,47.9,49.9,51.75,56.06,98.44,147,138.81,144.26,150,152.13,93.8,86.69,..,..,..,..,..,..,..,106.42,94.66,96.5,..,64.4,58.31,58.12,53.85,53.21,54.32,57.31,..,52.38,82.66,..,..,..,..,48.2,40.83,35.65,36.97,41.55,41.72,42.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.96,60.9,84.49,110.24,105.55,..,106.24,129.25,..,120.68,..,85.59,85.38,99.33,171.83,176.9,163.4,134.91,130.61,..,191.88,198.97,179.06,124,107.82,104.86,111.82,106.5,106.96,101.98,..,95.51,97.58,90.27,84.89,..,52.97,..,57.86,..,..,62.32,57.36,..,..,65.93,51.23
..NATIONAL CAPITAL REGION (NCR),Ginger Native,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..,..,..,83.9,89.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,158.6,83.2,..,..,88.42,72.98,84,83.79,83.33,83.33,..,83.33,108.19,101.63,85.59,..,64.9,60.48,67.33,..,..,82.33,64.48,..,..,54.3,45
..NATIONAL CAPITAL REGION (NCR),Onion Leeks,37.71,38.15,50.38,50.58,45.51,44.44,40.61,41.44,42.04,47.86,47.11,51.83,41.79,37.76,36.14,36.05,32.19,38.83,58.01,51.76,60.79,107.34,110.04,71.61,66.25,42.06,46.59,38.24,37.03,43.91,39.5,77.68,64.83,43.69,39.64,42.65,44.03,38.59,37.71,38.68,38.66,40.5,34.49,..,..,..,..,36.29,44.33,39.69,39.11,41.7,49.34,59.83,53.63,58.78,48.23,55.23,53.09,..,..,39,41.44,44.49,..,..,58.72,59.49,61.75,..,80.93,68.71,69.53,70.5,61.75,46.49,47.81,..,53.71,..,..,..,..,..,64,53.79,62.24,55.17,51.11,59.51,43.36,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.96,45.7,38.6,49.62,64,..,62.37,82.63,..,66.33,..,64.52,67.59,61.5,63.67,52.28,57,45.17,46.94,..,..,92.53,100.88,84,84.88,..,72.35,71.68,75.22,59.47,..,..,..,85.64,80.09,..,62.14,73.93,63.76,..,..,61.38,62.61,..,..,90.19,76.88
..NATIONAL CAPITAL REGION (NCR),"Onion native (red shallot), multiplier",56,28.49,27.62,27.03,28.92,37.04,40,105,105,105,..,..,58.17,96.07,58.22,..,..,..,..,..,..,..,126.15,79,42.75,26.49,24.02,27.4,51.67,60.26,60,60,60,..,..,53.24,48.33,48.73,37,32.8,31.4,44.31,48.33,..,..,..,..,..,..,48.25,41.35,44,37.6,37.5,39.89,47.33,47,47,48.88,..,..,31.4,28.86,27.11,..,..,61.89,67,60.1,..,82.13,64.69,55.73,57.18,41.44,57.21,71.59,..,86.89,162.36,..,..,..,..,37.08,45.63,39.14,50.9,52.29,59.44,69,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.56,37.5,43.92,46,46,..,75.56,85.13,..,97.47,..,87.4,63.34,54.86,38,90.5,90,105.78,108,..,..,106.27,131,68.7,57.49,63.64,72.26,80,80,79.89,..,79.13,75.43,68.54,65.33,..,..,..,103,..,..,103,103,..,..,129,173
..NATIONAL CAPITAL REGION (NCR),Onion Red Creole (Bermuda Red),73.15,31.06,16.12,14.17,15.49,21.03,26.77,33.33,35.11,34.38,34.24,41.3,74.17,100.45,34.62,38.48,41.44,48.81,50.64,47.38,49.35,55.89,58.01,56.3,53.16,40.25,27.22,33.94,48.01,51.35,59.4,66.69,77.57,67.31,62.53,56.96,53.07,33.14,24.5,23.06,32.07,34.74,33.96,36.2,40.7,40.42,51.57,63.16,61.98,39.71,24.84,18.65,21.2,28.64,34.12,36.07,36.3,35.7,34.54,..,..,26.33,19.9,26.58,..,..,38.6,38.2,47.41,..,72.09,75.31,57.58,37.86,36.68,49.82,68.24,..,82.18,112.37,..,..,..,..,47.54,49.99,31.06,29.73,38.09,42.05,40.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.24,31.9,21.58,24.62,35.86,..,36.61,40.88,..,88.71,..,124.46,52.49,46.9,65.37,66.07,71.48,71.19,86.5,..,..,192.84,174.95,56.68,87.26,59.49,60.46,67.54,75.47,76.3,..,84.03,90.43,106.56,137.29,..,50.35,37.06,37.2,..,..,78.1,93.61,..,..,211.68,328.89
..NATIONAL CAPITAL REGION (NCR),Onion White (Yellow Granex),30.8,19.17,11.63,12.98,15.98,20.01,23.45,33.36,35.89,44.75,44.85,40.79,51.56,63.69,22.42,36.35,37.19,33.17,31.04,33.99,45.19,43.14,36.65,32.99,34.3,26.65,24.82,28.46,38.13,38.09,56.89,43.21,38.77,33.54,33.28,34.04,33.93,27.26,22.36,19.75,30.65,28.96,32.29,45.1,39.42,37.16,34.06,33.38,30.64,20.31,13.91,13.91,18,22.5,24.27,30.84,44.5,35.33,32.2,..,..,15.85,17.03,27.36,..,..,44.22,40.85,35.08,..,33.36,39.94,47.26,34.28,33.31,44.41,59.58,..,32.41,67.62,..,..,..,..,29.13,33.53,29.24,29.2,34.91,32.82,30.79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.91,23.2,26.71,29.73,29.61,..,44.56,68.35,..,34.07,..,48.03,31.87,31.43,51.9,51.92,50.89,48.29,47.43,..,..,37.88,43.23,41.08,37.88,34.94,40.79,46.33,52.89,53.77,..,59.23,61.77,53.07,49.07,..,37.6,28.1,35.25,..,..,88.44,169.02,..,..,174.93,175.6
..NATIONAL CAPITAL REGION (NCR),Pepper bell,74.76,45.07,29.22,34.34,47.3,49.83,70,108.59,110.06,103.11,105.22,141.77,88.37,81.41,131.45,82.49,48.44,57.39,67.44,54.74,76.04,152.38,153.99,133.37,63.03,56.31,65.54,107.87,84.66,130.33,138.83,176.93,205.78,112.15,59.39,50.34,50.59,56.37,77.09,64.94,71.76,91.81,106.68,98.47,142.62,159.24,143.6,142.37,87.35,64.34,50.78,55.27,90.16,106.68,64.15,70.18,111,107.9,128,..,..,48.98,60.9,88.71,..,..,140.33,150.92,156.43,..,98.93,98.56,80.94,93.31,72.94,77,105.13,..,103.81,136.66,..,..,..,..,152.95,125.38,57.95,45.94,55.37,60.58,69.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.44,60.5,135.64,174.62,162.5,..,220.5,184,..,135.33,..,106.95,106.75,83.63,93.83,75.92,92,71.61,86.47,..,..,216.93,229,243.46,197.91,..,69.15,66,94.8,130.27,..,..,..,115.08,..,..,129.51,199.62,219.3,..,..,101.06,141.47,..,..,166.93,212.41
..NATIONAL CAPITAL REGION (NCR),"Pepper finger, green",17.75,12.06,13.54,22.68,26.49,16.65,9.36,14.36,12.92,34.38,81.16,50.74,59.84,51.75,42.84,34.98,29.69,18.38,31.31,52.94,44.86,145.06,109.72,38.28,25.49,12.22,10.61,15.56,13.81,12.9,31.59,45.37,48.74,45.24,27.33,27.29,26.22,29.13,40.76,34.88,24.18,17.07,19.74,..,52.36,95.11,98.69,70.36,24.77,17.41,22.18,24.08,29.23,31.13,46.17,58.94,26.11,30.82,44.44,..,..,26.65,60.8,22.56,..,..,55.16,69.35,68.41,..,165.75,65.1,52.95,30.1,22.97,23.78,36.68,..,34.7,92.8,..,..,..,..,54.06,30.26,22.27,37.29,45.94,26.11,82.56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.89,17.3,40.5,31.65,34.25,..,36.22,51.38,..,92.33,..,63.25,28.19,26.88,42,36,56.56,62.06,67.69,..,65.76,289.07,251.88,82.19,49.44,20.29,16.26,18.23,22.82,23.68,..,..,..,62.64,..,..,45.65,50.01,57.31,..,..,62.34,47.42,..,..,217.92,133.72
..NATIONAL CAPITAL REGION (NCR),"Pepper hot, red labuyo [Chili pepper]",182.98,233.22,138.8,46.41,65.49,82.87,53.87,22.07,20.76,36.81,61.88,163.84,52.38,69.94,86.11,68.38,55.56,104.38,38.19,49.87,101.69,288.87,512.56,339.36,288,107.31,44.64,27.46,14.27,12.94,13.45,38,45.63,167.41,152.44,123.63,143.45,86.49,81.88,74,60.6,72.37,71.55,..,..,..,..,246.57,155.11,79.63,44.65,40.31,41.56,36,48.89,65.67,206.53,163.9,147.5,..,..,125.55,53.1,43.64,..,..,76.6,225.04,281.56,..,283.07,421.43,189.37,146.38,33.58,28.07,33.26,..,24,..,..,..,..,..,307.48,161.63,66.11,42.4,72,87.11,104.44,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.09,28.5,26.53,32.75,..,..,..,..,..,..,..,243.9,208.18,100.8,83.83,70.75,107.11,135.67,123,..,..,220,683,451.54,171.39,..,43.56,41.38,43.19,50.68,..,..,228.89,..,73.68,..,46,54.49,81.5,..,..,302.44,322.75,..,..,410,442.89
..CORDILLERA ADMINISTRATIVE REGION (CAR),Garlic Taiwan (Imported),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Garlic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Ginger Hawaiian,42.74,46.67,41.29,65.91,90,94.51,81.86,81.31,84.03,81.36,79.92,64.72,51.52,50.33,52.55,52,50.1,52.68,50.45,49.05,47.88,48.28,45.85,39.6,38.63,39.38,39.5,32.72,36.8,38.95,34.23,34.81,39.07,36.42,33.27,32.71,31.69,23.28,25.47,30.65,36.73,38.37,39.5,42.43,50.05,52.43,56.52,58.83,56.06,50.45,54.5,95.67,128.53,133.08,109.86,124.31,154.23,160.43,132.5,94.67,96.82,91.45,101.92,121.7,157.17,172.15,150.92,169.09,166.55,163.57,165.33,154.73,87.25,83.55,84,84.15,87,79.45,71.77,66.14,67.36,67.69,71.6,61.35,45.88,43.07,37.31,49.14,48.17,47.07,42.82,41.96,40,48.45,63.51,48.2,45.83,38.93,38.8,46.2,..,50.97,46.82,52.04,51.8,58.28,58.85,57.91,59.41,62.48,56.47,72.44,92.76,..,93.96,94.41,92,118.33,105,109.03,108.46,97.58,99.44,..,150,140.39,122.11,134.75,138,151.77,121.18,105.6,..,94.38,..,..,..,100.96,92.74,94.84,..,..,..,..,..,..,57.5,..,..,..,50.38,..,46.78,55.5,56,49.89
..CORDILLERA ADMINISTRATIVE REGION (CAR),Ginger Native,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Onion Leeks,24.84,22.28,23.56,25.16,21.62,22.8,27.56,24.52,22.03,23.44,24.6,27.55,24.53,20.15,18.05,20.2,23.36,33.49,31.88,25.95,40.58,71.64,66.09,49.34,50.51,39.18,45.54,34.78,26.25,28.97,31.58,63.21,30.37,30.49,29.15,31.98,33.09,27.4,21.89,25.98,28.93,30.47,24.31,22.47,31.02,28.18,21.15,27.05,32.49,28.15,29.27,33.3,36.05,42.65,37.26,60.98,44.55,48.43,45.45,31,28.13,27.44,23.55,28.64,30.35,33.58,57.57,41.84,37.49,51.6,45.53,33.84,45.72,49.55,45.1,26.38,27.73,23.6,19.48,30.28,44.83,61.15,62.43,58.52,36.94,31.52,49.09,48.28,33.82,41.69,35.62,37.13,32.65,33.31,32.06,31.38,35.97,38.05,38.27,31.75,..,39.11,40.32,102.5,162.67,99.46,99.08,102.36,88.07,43.47,25.63,23.86,32.47,..,33.76,36,50.44,49.84,35.28,54.51,35.31,46.68,36.78,29.41,22.21,20.49,18.96,19.18,29.33,41.69,72,57.8,..,68.63,..,..,..,54.33,48.89,76,..,..,..,..,..,..,56.1,..,..,..,45.63,..,55.78,59.5,64.86,51.89
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Onion native (red shallot), multiplier",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Onion Red Creole (Bermuda Red),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Onion White (Yellow Granex),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Pepper bell,46.9,35.19,22.24,14.5,29.36,36.63,51.57,90.87,111.95,111.19,98.35,138.67,90.75,69.19,94.11,54.37,39.09,54.83,36.95,29.02,56.61,103.82,198.53,107.27,53.79,41.55,50.57,82.2,75.42,87.25,116.58,129.32,199.29,127.18,44.31,44,39.09,54.74,43.5,42.1,33.8,109.75,84.95,79.71,123.15,142.35,113.75,118.48,86.46,58.58,39.17,40.43,74.79,49.56,41.12,55.22,121.46,95.89,112.42,109.56,84.57,65.39,..,66.46,93.58,91.48,123.77,124.55,149.36,110.93,101.8,82.02,77.17,85.36,51.75,51.42,76.75,102.25,73.82,39.34,71.64,115.51,116.53,102.78,83.37,75.47,40.5,53.52,44.77,44.8,39.35,69.36,126.85,113.38,71.85,77.33,67.69,73.25,135.43,96,..,107.92,83.38,127.86,177.5,170.62,104.15,111.73,74.79,48.42,36.06,73.59,96.04,..,167.11,166.49,112.64,116.53,80.38,91.78,67.56,72.25,58.04,49.64,52.75,49.44,36.36,41.13,53.11,79.72,132,118.7,..,126.5,..,..,..,54.67,55.31,76.44,..,..,..,..,..,..,173,..,..,..,61,..,65.11,109.61,131.98,152.22
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Pepper finger, green",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
