Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December
..NATIONAL CAPITAL REGION (NCR),Ampalaya [Bitter gourd],31.6,26.53,22.89,25.51,25.06,31.75,34.18,27.04,18.01,31.41,54.13,31.64,40.37,38.17,32.91,32.33,40.7,35.93,33.89,37.59,37.6,69.5,37.04,34.76,32.33,33.59,37.01,33.03,27.89,32.83,32.29,47.28,37.6,42.1,34.52,35.16,39.46,33.01,36.62,32.8,32.32,35.33,30.88,28.67,40.4,61.71,49.7,42.03,49.38,43.61,35.49,30.73,25.3,29.84,41.83,50.83,27.51,28.29,26.84,..,..,46.69,50.25,43.98,..,..,52.18,39.58,33.66,..,63.39,44.71,57.24,31.55,36.74,32.09,41.31,..,36.61,59.76,..,..,..,..,55.7,41.69,39.94,33.71,28.53,41.07,37.99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.35,46,49.88,46.24,56.94,..,39,52.73,..,59.41,..,47.88,54.44,52.8,56.17,55.92,51.89,34.26,41.9,..,..,153.53,109.5,95.9,57.19,43.53,36.25,35.21,47.23,56.21,..,..,55.1,33.36,53.87,..,66.79,77.67,58.68,..,..,46.3,48.33,..,..,93.66,65.96
..NATIONAL CAPITAL REGION (NCR),Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.33,40,29.25,28.17,..,36.08,..,..,..,31.93,34.43,..,..,..,..,..,..,41.11,34.43,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Chayote,12.35,16.16,16.11,14.11,11.32,9.18,5.34,4.62,4.77,10.77,20.72,7.65,5.59,5.88,6.45,7.21,8.89,11.82,12.21,8.14,19.92,26.92,12.58,8.46,7.32,8.95,6.37,6.57,6.51,9.42,8.89,29.99,32.47,13.25,11.53,15.84,19.13,11.98,9.44,9.89,6.55,6.03,6.89,9.8,19.98,12.14,9.93,9.48,11.5,10.29,13.87,20.98,12.66,9.26,8.06,13.32,12.63,15.22,8.65,..,..,11.04,11.38,11.68,..,..,16.81,39.6,20.03,..,32.92,19.11,18.64,9.94,13.08,15.27,17.74,..,9.6,27.23,..,..,..,..,12.59,10.04,6.61,9.93,12.39,13.84,8.81,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.75,17.2,25.03,20.66,8.96,..,17.7,37.13,..,8.62,..,11.31,13.95,16.1,32.33,26.43,19.18,8.92,8.86,..,..,23.33,14.94,14.15,10.25,7.46,11.2,15.73,21.01,21.72,..,..,17.72,17.66,21.66,..,13.43,13,12.68,..,..,13.8,15.38,..,..,31.94,20.69
..NATIONAL CAPITAL REGION (NCR),Cucumber,17.71,24.85,43.04,35.94,24.85,24.99,20.41,18.31,23.33,27.93,33.06,23,30.79,28.44,20.11,19.73,32.1,27.33,21.04,22.5,30.42,46.04,26.8,19.51,21.81,29.49,31.33,24.13,23.49,22.53,21.54,39.37,24.65,22,23.12,35.54,39.04,28.16,23.33,33.7,33.72,21.91,20.37,28.71,31.81,35,28.88,27.64,28.43,28.51,29.09,31.63,23.03,22.01,23.26,28.29,32.44,33.24,26.75,..,..,34.2,25.53,24.69,..,..,40.86,24.81,36.76,..,70.44,31.78,23.4,37.21,35.25,32.18,31,..,24.36,47.26,..,..,..,..,28.83,29.81,19.83,22.96,21.01,38.66,42.48,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.18,51,52.64,51.7,29.86,..,34.77,37.54,..,39.18,..,31.02,29.56,30.35,41.27,64.63,53.02,25.09,33.21,..,..,41.36,64.49,50.05,32.08,29.29,31.21,29.88,..,41.01,..,..,..,37.68,37.93,..,41.94,63.43,31.53,..,..,37.23,30.52,..,..,64.64,56.34
..NATIONAL CAPITAL REGION (NCR),"Eggplant long, purple",30.36,14.56,7.76,7.96,11.11,11.8,11.89,15.86,7.5,18.44,21.39,23.73,42.81,32.66,28.81,24.05,24.01,28.56,29.83,29.23,19.96,46.03,29.77,55.41,33.54,28.56,21.49,23.9,19,26.67,30.24,33.32,21.79,30.69,35.67,32.29,32.97,19.6,19.13,16.91,22.01,23.21,21.96,20.16,21.93,38.83,34.13,43.73,42.83,21.59,24.75,22.84,21.81,23.58,32.13,49.06,32.7,21.51,23.88,..,..,22.33,20.64,15.49,..,..,35.36,32.7,29.36,..,46.71,43.54,50.25,41.18,35.94,18.68,15.39,..,28.6,45.65,..,..,..,..,42.49,40.93,28.27,25.11,21.07,26.26,27.34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.58,21.5,25.75,29.78,25.58,..,42.47,42.81,..,64.16,..,49.27,35.46,32.45,39.17,34,28.18,27.81,20.9,..,..,96.2,67.25,99.17,61.75,38.5,36.36,29.73,25.51,38.91,..,..,51.54,42.6,..,..,31.88,33.26,36.08,..,..,53.23,39.06,..,..,91.33,63.78
..NATIONAL CAPITAL REGION (NCR),"Eggplant native, round",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.25,42.24,33.1,28.98,30,36.57,..,..,..,43.11,..,..,43.84,38.05,..,..,..,67.99,57.16,..,..,82.56,116
..NATIONAL CAPITAL REGION (NCR),Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.57,57.73,51.91,36.69,..,51.64,..,..,48.43,46.79,41.86,..,43.67,47.15,45.75,..,..,47.79,49.93,..,..,49.44,48.06
..NATIONAL CAPITAL REGION (NCR),Okra,23.93,15.4,21.76,22.87,24.29,15.84,9.97,9.33,12.46,35.07,45.52,14.22,39.03,30.2,17.85,15.63,31.61,26.54,18.22,15.96,22.9,42.61,25.42,34.66,21.83,20.71,21.33,11.91,12.41,14.85,13.5,32.87,32.13,30.68,18.41,18.25,24.26,24.75,30.68,24.08,17.02,13.14,11.01,..,28.43,41.2,44.67,35.93,35.86,25.21,27.68,34.34,24.68,18.3,18.53,20.29,24.64,19.93,18.26,..,..,31.14,35.66,23.11,..,..,26.33,22.34,23.84,..,28.47,39.09,26.84,24.11,24.9,22.14,24.65,..,18.37,47.18,..,..,..,..,43.41,29.94,34.26,23.13,15.59,16.34,16.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.65,34,28.83,20.51,16.06,..,32.43,51.11,..,50.07,..,38.84,58.9,35.83,48.8,36.67,25.24,19.76,19.15,..,..,89.13,101.83,67.73,28.44,31.54,28.16,24.98,..,25.46,..,..,30.29,21.82,..,..,34.54,31.83,27.8,..,..,26.1,28.25,..,..,76.37,38.39
..NATIONAL CAPITAL REGION (NCR),"Patola [Dishrag gourd], native",15.86,14.56,15.66,15.33,14.8,14.39,14.02,11.16,10.93,11.92,20.5,18.13,18.95,18.76,14.66,11.64,14.64,17.25,21.67,18.42,18.98,30.05,19.46,21.12,12.36,11.14,10.99,11,11,10.93,10.79,20.76,20.09,11.52,11.2,12.45,12.64,17.85,16.74,14.99,14.57,14.09,12.27,..,26.85,26,24.48,26.29,24.1,22.44,21.46,24.44,20.04,16.33,18.69,24.74,19.71,21.35,15.38,..,..,21.68,17.71,13.95,..,..,27.5,21.4,23.56,..,25.68,26.51,26.41,26.44,16.25,11.73,15.7,..,16.58,41.16,..,..,..,..,..,..,..,18.3,13.27,15.08,15.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.24,37.5,..,..,..,..,..,..,..,..,..,28.69,28.19,28.72,..,..,27.78,18.79,23.63,..,..,75,48.01,48.15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Squash,13.86,13.75,8.83,9.63,10.78,10.92,11.37,11.61,11.6,11.08,9.95,10.9,12.49,20,19.1,18.73,12.33,11.73,14.48,18.87,18.96,20.75,18.1,12.94,12.73,11.36,10.99,10.9,11.51,15.36,14.7,14.57,14.6,20.63,21.39,18.98,18.56,18.31,16.04,13,17.65,16.28,12.27,9.01,9.75,11.76,18.96,19.46,16.7,17.08,15.99,15.8,16.72,16.33,15.13,16.96,17.46,15.94,13.48,..,..,15.86,15.5,16.49,..,..,15.62,19.09,14.85,..,16.76,15.94,23.01,17.05,12.24,10.94,9.94,..,19.99,37.34,..,..,..,..,22.78,21.28,17.39,14.97,12.8,10.92,10.86,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.24,15.4,30.66,23.93,17.45,..,17.31,19.71,..,26.48,..,17.03,14.19,14.05,16.9,12.35,17.07,16.91,14.65,..,..,17.45,37.9,70.45,47.5,19.82,14.99,13.19,14.36,19,..,30.41,25.92,17.55,16.09,..,16.6,21.74,27.5,..,..,28.99,31.26,..,..,26.45,30.09
