Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December
..NATIONAL CAPITAL REGION (NCR),"Banana Bungulan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.5,23.89,20.63,20,20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),"Banana Lakatan, ripe*",2.77,2.8,2.75,2.75,2.74,2.75,2.76,2.81,2.81,3.15,2.69,2.69,2.69,2.69,2.69,2.72,2.58,2.56,2.58,2.62,2.58,2.55,2.57,2.63,2.77,2.79,2.67,2.7,2.61,2.73,2.71,2.7,2.76,2.81,2.71,3.09,3.23,3.23,3.25,3.34,2.86,2.85,2.92,3.14,3.25,3.25,3.25,3.25,32.76,34.02,34.06,34.18,35.48,34.2,37,37.27,37.07,36.8,37.26,..,..,..,..,..,..,..,39.91,40.87,38.23,..,37.63,37.17,37.02,37.87,38.11,36.76,41.7,..,43.84,56.43,..,..,..,..,42.77,42.72,42.54,41.57,39.63,37.8,37.44,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.36,50.4,51.35,52.7,51.7,..,52.41,53.14,..,52.94,..,53.37,54.06,58.09,85.17,77.59,73.11,66.31,63.98,..,..,58.55,54.45,53.67,55.63,54.73,53.25,52.61,52.52,51.84,..,41.09,41.04,41.31,42.88,..,41.96,43.49,43.43,..,..,43.72,43.83,..,..,44.26,45.63
..NATIONAL CAPITAL REGION (NCR),"Banana Latundan, ripe*",1.51,1.52,1.53,1.57,1.6,1.63,1.58,1.7,1.69,1.76,1.71,1.72,1.72,1.72,1.69,1.83,1.67,1.75,2.06,2.13,2.04,2.01,1.76,1.71,1.79,1.71,1.74,1.72,1.76,1.82,1.77,1.76,1.8,1.64,1.65,1.7,1.89,2.24,2.24,2.24,2.21,2.16,2.1,2.14,2.18,2.18,2.19,2.21,24.34,26.96,27.03,26.52,26.76,27.4,24.12,25.39,25.69,26.31,26.52,..,..,..,..,..,..,..,26.25,26.89,..,..,27.86,27.06,27.75,27,27.32,27.72,29.53,..,30.86,42.52,..,..,..,..,29.74,29.22,29.65,30.42,29.16,29.5,29.78,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.29,34.79,34.61,35.47,35.11,..,35.82,36.73,..,37.79,..,36.54,39.24,39.19,53.33,51.06,50.11,44.91,44.32,..,..,37.51,37.08,35.34,38.18,37.81,38.45,38.13,37.99,36.79,..,30.87,31.85,32.03,31.86,..,30,30.88,30.86,..,..,34.05,35.13,..,..,34.8,35.47
..NATIONAL CAPITAL REGION (NCR),"Banana Saba, ripe*",1.28,1.32,1.33,1.37,1.37,1.39,1.39,1.35,1.38,1.38,1.38,1.38,1.38,1.36,1.39,1.41,1.48,1.4,1.29,1.23,1.27,1.29,1.3,1.31,1.31,1.3,1.27,1.27,1.27,1.31,1.29,1.33,1.34,1.35,1.24,1.21,1.33,1.35,1.35,1.4,1.34,1.33,1.35,1.41,1.4,1.39,1.39,1.39,12.44,9.08,14.82,15.41,15.41,13.6,15.31,16.73,16.73,17.01,14.74,..,..,..,..,..,..,..,..,14.4,20.52,..,20.79,20.97,22.14,21.78,22.14,24.03,25.43,..,24.5,32.3,..,..,..,..,23.48,21.95,20.74,22.76,23.87,23.36,22.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.36,21.47,21.34,22.2,21.88,..,23.13,23.07,..,22.82,..,24.67,26.37,27.47,42.07,36.36,35.04,31.46,30.53,..,..,27.23,28.48,28.84,28.59,25.97,26.6,26.78,26.69,25.73,..,26.71,27.39,27.43,28.15,..,26.4,27.17,27.25,..,..,26.64,26.27,..,..,27.53,26.96
..NATIONAL CAPITAL REGION (NCR),"Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.93,30.01,29.54,30.5,30.53,29.37,..,29.96,30.18,30.34,31,..,30.76,29.98,30.61,..,..,27.73,27.02,..,..,28.03,28.94
..NATIONAL CAPITAL REGION (NCR),Calamansi,25.87,36.75,30.53,23.13,39.8,27.25,28.78,20.81,12.31,9.03,11.16,29.96,33.71,30.41,48.33,39.71,40.16,43.25,47.42,25.54,16.73,23.14,43.09,43.55,53.14,27.38,30.97,65.93,38.55,23.7,23.17,17.96,10.5,14.64,32.38,56.43,56.43,42.56,30.64,39.96,45,29.42,24.1,13.79,8.78,16.35,..,52.33,57.61,38.65,49.27,61.69,45.84,25.55,21.61,23.26,16.95,15.53,25.96,..,..,32.65,..,33.08,..,..,26.96,22.03,14.08,..,18.35,38.09,38.59,47.89,37.1,44.02,44.43,..,25.19,48.23,..,..,..,..,44.68,39.88,24.23,43.39,46.89,34.23,26.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.04,25.5,68.4,58.65,28.31,..,16.78,14.01,..,45.98,..,37.27,27.33,62.7,56.77,28.25,34.47,27.92,22.54,..,..,18.65,34.79,34.33,76.45,42.7,54.93,58.51,34.76,24.54,..,21.58,22.59,47.77,40.32,..,54.18,61.33,51.88,..,..,30.91,32.26,..,..,55.22,61.36
..NATIONAL CAPITAL REGION (NCR),Mandarin Szinkom,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,..,27.78,25,20,18.55,..,..,..,..,42.84,63.76,..,..,..,..,12.22,9.07,50,37.5,..,58.89,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.02,22.2,28.06,41.43,..,..,40.36,28.74,..,25.53,..,21.37,26.7,30.67,..,55,59.5,61.31,55.13,..,..,24.95,26.46,24.78,31.19,28.25,28.25,28.25,28.25,28.25,..,28.25,28.25,26.87,27.06,..,24.35,28.25,28.25,..,..,28.25,28.25,..,..,28.25,28.25
..NATIONAL CAPITAL REGION (NCR),"Mango Carabao, green",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.67,85.22,88.7,73.88,77.7,88.52,..,93.89,96.19,105.55,103.99,..,85.34,79.07,65.28,..,..,99.44,114.49,..,..,109.09,100.07
..NATIONAL CAPITAL REGION (NCR),"Mango Carabao, ripe",49.01,37.31,31.55,32.81,33.36,35.42,54.39,64.68,65.88,63.68,55.29,55.22,55.76,52.78,33.74,22.51,28.93,32.52,45.99,51.55,63.44,59.65,57.89,58.77,51.12,41.14,39.92,42.36,36.82,41.88,48.04,53.61,53.81,54.89,56.13,47.52,32.92,28.1,33.97,40,39.23,41.38,50.59,56.93,62.42,63.6,64.18,58.05,44.99,34.3,31.98,34.78,39.29,36.09,58.16,68.57,70.4,72.39,70.76,..,..,60.74,47.71,47.74,..,..,47.66,52.59,80.02,..,86.69,89.05,83.47,61.56,54.99,55.13,50.35,..,64.43,121.38,..,..,..,..,72.2,63.75,82.42,80.82,58.35,59.39,87.07,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.61,94.95,81.99,66.99,59.26,..,124.91,142.98,..,99.9,..,97.73,112.58,103.44,104.08,86.11,83.2,96.14,104.02,..,..,100.09,112.46,151.56,104.08,101.92,99.57,74.8,81.55,97.18,..,104.44,100.48,..,109.7,..,93.04,85.74,72.57,..,..,114.32,129.31,..,..,116.78,113.85
..NATIONAL CAPITAL REGION (NCR),Muskmelon*,..,26.33,26.33,24.83,25.88,..,..,22.88,22.91,22.91,26.98,26.88,25.19,25,25.47,30.13,30.8,20.51,24.27,27.62,27.19,27.5,22.91,27.41,26.8,28.65,28,26.95,27.5,26.22,29.38,27.55,28.75,26.95,..,23.13,34.64,33.54,27.33,25.23,25.1,25.79,26,27.33,30,30,30,30,22.78,25,31.18,26.67,27.04,..,28.1,30,35,..,..,..,..,..,..,..,..,..,..,..,30,..,30,36.05,27.69,29.63,30,27.29,34.57,..,32.88,60.83,..,..,..,..,28.43,30.83,34.02,42.54,34.06,29.77,27.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.13,38.33,38.04,35.14,34.03,..,51.03,53.1,..,54.38,..,43.1,34.84,37.97,84,62.8,74.52,59.83,69.48,..,..,47.76,48.41,43.83,47.46,45.7,45.76,46.9,45.5,45.52,..,49.06,48.4,46.88,47.31,..,43.66,48.64,46.35,..,..,49.08,49.11,..,..,49.15,48.38
