Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December
..NATIONAL CAPITAL REGION (NCR),Chicken egg*,3.82,3.68,3.43,3.83,3.03,3.06,3.59,3.91,3.74,3.67,3.67,3.71,3.72,3.61,3.72,3.47,3.04,3.72,3.05,3.85,3.71,3.71,3.73,3.78,3.71,3.84,3.48,3.05,2.74,3.2,3.63,3.85,3.85,3.85,3.88,3.84,3.82,3.78,3.8,3.15,2.84,3.55,3.74,3.68,3.77,3.69,3.77,4.01,3.68,3.97,4,3.98,3.86,4.18,4.6,4.93,4.8,4.72,4.14,..,..,..,..,..,..,..,..,..,..,..,4.2,4.32,4.43,4.48,4.28,3.84,3.88,..,4.69,5.48,..,..,..,..,4.88,4.97,4.73,3.54,3.48,4.03,4.27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.89,5,4.57,4.54,4.93,..,5.27,6,..,5.91,..,5.73,5.63,..,5.49,5.29,5.3,5.54,5.55,..,..,4.65,4.63,4.83,5.2,5.02,4.15,3.65,3.33,3.62,..,4.07,4.4,4.4,4.62,..,4.4,4.36,4.16,..,..,6.4,6.44,..,..,6.4,7.42
..NATIONAL CAPITAL REGION (NCR),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.9,9.33,9.33,10,10.33,..,10.33,10.33,10.59,11.19,..,10.67,10.96,10.96,..,..,13.85,13.61,..,..,13.33,13.93
..CORDILLERA ADMINISTRATIVE REGION (CAR),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),Chicken egg*,4.15,4.14,4.19,4.2,4.15,4.2,4.2,4.2,4.2,4.25,4.2,4.2,4.2,4.2,3.78,..,..,..,..,..,..,..,..,..,4.06,4,4,4,4,4,4,4,4,4,4,4,4,4.11,4.11,4,4,4,4,3.93,4.05,3.95,4,4,4,4,4,4.12,4.04,4.15,4.2,4.2,4.44,4.65,4.35,4.4,4.4,4.45,4.4,4.4,4.36,4.4,4.4,4.4,4.35,4.58,4.48,4.91,4.85,4.8,4.8,4.25,4.4,4.58,4.63,4.75,4.29,4.35,4.51,5,4.8,5,4.84,5.28,5.02,5.01,5.2,5.2,5.2,5.11,5.05,4.55,4.71,4.4,4.47,4.45,4.75,4.8,5,5.14,5,5.02,4.59,..,4.8,4.88,4.91,5,5,5,5,5,5.2,..,5.6,5.6,5.6,5.78,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,6,6,6,6,6,6,6,6,6,6,6,6,5.97,6,6,6,6.17,6.29,6.49,6.77,6.95,7.2,7.49
..REGION I (ILOCOS REGION),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),Chicken egg*,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.25,4.38,4.37,4.38,4.4,4.38,4.4,4.59,4.58,4.4,4.4,4.33,4.4,4.4,..,4.4,4.4,4.4,4.4,4.27,4.44,4.27,4.4,4.4,4.4,4.4,4.4,4.4,4.4,..,..,..,4.6,..,4.44,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION II (CAGAYAN VALLEY),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION III (CENTRAL LUZON),Chicken egg*,4.99,5.15,5.13,4.96,4.92,4.77,4.77,4.94,4.5,4.6,4.6,4.76,4.23,4.5,4.24,4.22,4.23,4.24,4.22,4.2,4.27,4.33,4.22,4.3,4.36,4.33,4.36,4.31,4.29,4.36,4.29,4.27,4.2,4.2,4.33,4.38,4.24,4.2,4.33,4.31,4.29,4.2,4.27,4.38,4.35,4.38,4.33,4.29,4.29,4.35,4.36,4.38,4.38,4.33,4.4,4.38,4.7,4.96,4.71,4.73,4.69,4.63,4.8,4.78,4.87,4.98,5,5,4.98,5,4.97,4.84,4.67,4.73,4.25,4.2,4.22,4.8,4.4,5.11,5.08,5.58,5.78,5.84,5.67,5.3,5.47,5.38,5.33,5.35,5.22,5.2,5.08,..,5.07,5.26,5.2,5.2,5.2,5.35,..,4.34,5.03,5.24,5.4,5.55,5.48,5.29,5.33,5.2,5.2,5.23,5.24,4.91,5.23,5.95,6.58,6.71,6.63,6.8,6.78,6.8,6.8,6.08,6,6,5.78,6.04,6.13,..,6.15,6.24,6.06,6.2,6.2,6.18,6.09,5.98,6.05,6,5.98,..,6.15,6,6,5.93,6,6.07,6.08,..,6.93,7.04,..,7.09,7.27,7.71
..REGION III (CENTRAL LUZON),"Duck Eggs, Fresh",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.98,7,7,7,7,7,7,7,7,7,7,7,7,6.98,7.03,7,7.02,7.03,7,7,7,7,7,6.96,6.47,6.78,6.83,6.8,6.8,6.8,6.84,6.91,6.83,7.2,7.2,7.2,7.33,7.3,7.33,7.27,7.16,7.1,7.24,7.2,7.2,..,6.87,7.03,7.2,7.2,7.15,6.98,..,6.31,6.4,6.53,6.76,6.8,6.8,6.82,6.8,6.83,6.8,6.78,6.82,6.82,6.95,7.7,7.4,7.33,7.55,7.25,7.51,7.53,7.13,6.4,6.2,6.2,6.49,6.53,6.45,..,6.6,6.58,6.66,6.63,6.58,6.55,6.58,6.6,6.53,6.53,6.51,..,6.65,6.6,6.62,6.53,6.58,6.67,6.6,..,7.53,8.11,..,8.09,8.13,8.6
