Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December
..NATIONAL CAPITAL REGION (NCR),Alumahan [Indian mackerel],88.25,82,77.6,78.5,72.33,75.64,75,82.24,82.94,80.61,93.5,117.43,115,91.65,81.75,75,73.27,90.83,89.22,94.6,99.3,93,94.22,109,111.43,105.5,97.5,..,93,107,92.5,121.5,113.43,109.43,111.62,112.75,121.57,115,79.09,81.57,92,76.5,89.5,116,97.29,120.17,116.88,112.82,123.33,115,130.67,119,97,104.33,109.38,104.2,..,101.6,94.6,95.6,127.5,..,72.38,44.71,..,..,..,..,85,..,..,..,..,..,..,..,..,..,..,207.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,293.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Bangus [Milkfish],87.79,86.83,89.22,83.28,78,73.98,71.11,73.03,72.21,73.98,66.24,78.34,76.86,80.58,77.33,71.65,69.07,61.05,63.08,65.28,67.48,78.03,89.73,93.36,102.05,103.72,104.92,108.54,91.96,95.77,90.42,103.23,105.6,102.29,106.99,98.59,99.04,99.08,98.57,100.29,89.77,80.89,75.39,76.82,80.39,82.43,87.36,87.14,84.31,81.89,81.88,80.33,83.66,76.9,73.32,81.69,82,76.12,79.32,79.75,84.41,73.33,85.25,87.58,..,..,95.53,98.01,92.78,..,87.1,92.23,93.8,93.04,92.23,93,91.33,..,89.39,117.42,..,..,..,..,89.63,91.04,90.97,93.38,94.28,81.46,82.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,119.56,114,105.88,105.79,..,..,..,108.5,..,125.89,..,125.78,138.63,..,136.44,133.78,124.63,122.1,119.63,..,..,129.79,136,138.5,142.61,145.03,142.1,138.17,133.1,135.81,..,144.33,151.13,149,156.07,..,158.21,156,146.17,..,..,148.75,153,..,..,169.5,168.45
..NATIONAL CAPITAL REGION (NCR),Bisugo [Threadfin bream],98.04,90.38,103.89,111.02,107.44,94.61,95.18,97.1,101.9,102.73,122.72,122.17,135.1,129.3,132.09,130.94,110.25,115.87,109.26,113.42,102.97,106.18,120.3,113.81,124.52,114,118.17,109.61,112.08,115.03,103.79,118.58,116.83,101.81,115.76,113.26,128.2,128.63,124.47,118.55,124.12,107.18,98.41,101.3,110.43,111.28,116,108.88,114.92,123.02,93.11,111.64,82.9,107.5,102.67,96.67,101.67,88,93,101.78,145,..,57.5,98.29,..,..,..,..,..,..,..,..,..,150,140,141.67,..,..,..,238.76,..,..,..,..,..,155.71,..,167,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),"Crab, Alimasag [Blue crab]",176,176.11,172.14,181.67,175.36,182.42,177.89,180.83,128,175,241.11,216.47,266.67,247,210.83,224.28,212.22,138.33,202.86,151.11,180,183.75,196,160,210.56,203.33,240,260,232.5,210,204.54,165,210,131.43,201.11,113.33,203.33,158.42,192.5,205.56,151.25,204.81,170.91,166.25,194.29,208.57,200,221.67,233.13,213.16,200,..,120,200,150,106.56,99,215.71,224.29,245.45,240,..,228.75,..,..,..,..,..,..,..,150,225,222.5,..,187.5,132.5,150,..,187.5,255.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),"Dalagang-Bukid, bilog [Caesio]",89.46,82.56,95.82,93.54,92.21,90.68,92.53,94.64,86.81,87.5,..,96.66,119.1,..,90.7,117.15,95.4,104.77,105.35,101.87,108.18,114.89,109.33,106.94,115,103.42,106.55,106.57,102.76,108.16,108.79,113.55,117.83,117.31,110.62,102.26,118.91,115.33,104.62,99.8,101.58,100.66,103.46,108.18,102.36,103.48,102.17,109.74,107.44,104.28,89.05,93.4,89.43,87.78,89.58,101.56,95.28,100.77,91.56,95.06,95,85,96.11,97.5,..,..,112.5,105.38,96,..,104.38,110,105.5,110,107.5,110,112.5,..,109.77,183.4,..,..,..,..,117,124,114.76,124.11,126.29,118.85,117.68,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,127.65,..,..,..,150,..,129.38,..,..,..,..,130,138.33,132.5,128.89,143.75,..,..,..,175,180,143.16,155.41,157.82,153.91,164.84,157.78,..,156.58,158.24,160.63,175,..,165.97,167.67,161.67,..,..,185,167.5,..,..,174.81,189.79
..NATIONAL CAPITAL REGION (NCR),"Dalagang-Bukid, lapad [Caesio]",108.26,114.35,127,118.46,109.23,105.42,106.9,109.93,107.08,..,103.64,127.06,132.31,131,130.78,132.5,113,124.32,127.86,130.86,132.35,129.18,136.77,135,140,146.67,150,116.67,134.38,128.18,124.81,136,125.07,140,137.53,132,130,135.39,135.17,129.44,138.11,114.58,124.38,133.33,133.33,145.56,140.19,156.67,137.5,148,140,130,97.5,97.5,122.5,120,126.25,115.71,118,133.33,150,..,130,130,..,..,..,110,..,..,..,..,100,..,..,..,..,..,..,230.43,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,127.64,..,120.74,..,..,..,..,..,..,..,..,125,110,..,..,..,..,..,..,..,..,165.29,..,..,200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Dilis [Anchovies],..,..,..,66.67,67.5,64.29,65,50.83,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,150,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,116.73,..,..,..,..,..,..,..,..,..,..,..,..,..,78.58,..,78.67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Espada [Hairtail],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Galunggong [Roundscad],73.79,64.25,56.54,58.68,57.62,60.17,59.24,67.69,68.66,52.65,80.4,100.33,96.84,101.67,104.85,62.78,58.68,68.32,77.79,81.11,93.55,85.64,90.96,96.56,93.94,68.71,67.73,76.65,68,74.67,76.83,93.67,87.35,94.93,90.86,90.64,88.23,83.35,51.59,53.44,56.53,65.06,72.31,82.64,74.64,91.14,87.22,90.28,110.98,79.19,52.22,56.84,64.85,66.87,64.96,68.35,71.06,74.33,90.19,84.03,74.19,53.42,63.08,58.29,..,..,61.49,58,58,..,71.22,82.91,66.8,73.72,60.65,57.5,54.54,..,59.37,138.84,..,..,..,..,79.33,77.5,63.97,64.71,72.32,57.56,66.22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.14,..,73.55,81.72,..,..,..,81.25,..,97.75,..,119.29,145.71,..,118.21,140.57,94.2,111.33,116.79,..,..,156.52,192.96,197.5,182.34,145.1,138.57,148.96,136.05,167.3,..,157,204.26,203.97,197.32,..,161.17,166.85,163.4,..,..,163.5,185.25,..,..,147.37,165.54
..NATIONAL CAPITAL REGION (NCR),Hasa-hasa [Indo-Pacific mackerel],120,119.17,110.28,109.12,113.2,111.71,103.71,91.5,..,82.25,..,..,..,104.23,116,88,97.88,100,92.5,100.53,93.18,110.62,108.33,97.8,108.57,135,146.43,128,135.56,150,144.44,..,130,156.67,..,154.29,120.75,164,157.5,157.14,150,120,100,..,105,126.67,140,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,208.36,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Kalaso [Lizard fish],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Lapu-lapu [Grouper],245.46,309,236.47,235,225.68,204.13,196.52,177.04,136.67,192.16,216.67,270,280,226.36,..,288,200,202.27,212.34,220.57,246.15,206.19,201.43,220,274.67,235,233.68,264,177,195.83,200.45,246.67,234,241.89,238.57,271,260.95,242.59,241.39,215.36,209.3,227.63,228.1,192.43,220,232.11,206.11,221.43,223.64,246.54,255,262.22,252.5,255,234.44,253.33,232.22,196.86,192,266.36,218,200,..,..,..,..,250,..,..,..,235,..,225,257.5,..,220,218,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
