,Linear Regression,Ridge Regression,Lasso Regression
Corngrain Yellow,-0.012607653574276219,-0.011309113670746714,-0.0
Corngrits Yellow,-0.04895904108767781,-0.04665588684904968,-0.0
Regular Milled Rice (RMR),-0.012320126243692702,-0.013846417013133196,-0.0
Rice Premium,-0.009224733698663341,-0.027628503384616837,-0.0
Rice Special,-0.027553111682705172,-0.00970950726895711,-0.0
Well Milled Rice (WMR),-0.0007548418271009363,-0.011680064694645994,-0.0
Alumahan [Indian mackerel],-0.05023997429449707,-0.018393635128177765,0.0
Bangus [Milkfish],0.05970502289318984,0.006064587630116157,0.0
Bisugo [Threadfin bream],-0.16510908625477272,-0.13984546004362705,-0.1808405112700357
"Crab, Alimasag [Blue crab]",-0.059721617754802066,-0.073913401704332,-0.0
"Dalagang-Bukid, bilog [Caesio]",0.03536215381273699,0.016309361565313697,0.0
"Dalagang-Bukid, lapad [Caesio]",-0.008800134175277162,-0.07950371554688883,-0.0
Dilis [Anchovies],-0.15279713955750165,-0.1551908497319829,-0.0
Espada [Hairtail],0.05130606778621066,0.09766213739243597,0.0
Galunggong [Roundscad],0.057628931747845086,0.02946910165060266,0.0
Lapu-lapu [Grouper],0.041958532059404564,0.05544920296636288,0.0
Pusit [Squid],0.0015243947589419742,-0.0015821927817624704,-0.0
Sapsap [Slipmouth],0.06706663027751633,0.054018381807039106,0.0
"Shrimp, Suaje [Endeavor prawn]",0.12163361409746284,0.034336646026304984,0.0
"Shrimp, Sugpo [Tiger prawn]",-0.12684775800599607,-0.15407747080113662,-0.17289670911600075
Talakitok [Cavalla],-0.08663870553196659,-0.0909376100739273,-0.07715195687961728
Tambakol [Yellowfin tuna],-0.10057310604998,-0.09050106939404289,-0.0
Tilapia,-0.26235963897199166,-0.2279170435930491,-0.2240802465944384
Tulingan [Frigate tuna],-0.031084651827195293,-0.019277989893500436,-0.0
