,Linear Regression,Ridge Regression,Lasso Regression
Habitchuelas [Snap beans],0.016416600527404224,0.019820739963341924,-0.0
"Peanut without shell, dry",-0.12959346951488576,-0.13615043361630308,-0.0
Stringbeans,-0.018733757108454766,-0.008633280564045687,-0.0
Regular Milled Rice (RMR),-0.08987925651146296,-0.07761558248334233,-0.0
Well Milled Rice (WMR),-0.08466966296738765,-0.08045786552298409,-0.0
Coconut matured*,-0.056202932289087015,-0.05601138311767969,-0.0
Garlic,-0.10960651381412712,-0.11460810145071029,-0.0
Ginger Hawaiian,-0.04890340097185294,-0.04391157746170321,-0.1092608475280399
Onion Red Creole (Bermuda Red),0.029887790106144407,0.04091334917046835,-0.0
Onion White (Yellow Granex),-0.12304686213510928,-0.13219567280737754,-0.004166987831230677
"Pepper finger, green",-0.006583805553149674,-0.011869755074722571,-0.0
"Pepper hot, red labuyo [Chili pepper]",-0.010078574082013503,-0.014696240499365618,-0.010571183363932328
Ampalaya [Bitter gourd],-0.09475917817484991,-0.0924681354365066,-0.0
"Eggplant long, purple",-0.08779222929986263,-0.08863742989059435,-0.0
"Eggplant native, round",-0.05064574023664718,-0.05278383966632049,-0.0
Okra,0.013614738630686954,0.00904810258952923,-0.0
Squash,0.031206761982416717,0.03242101992876401,0.0
Tomato,0.01963252885880059,0.022925622949251066,-0.0
Upo [Bottle gourd],-0.04161876324708424,-0.033412405758816946,-0.0
"Banana Lakatan, ripe*",0.06460092364273204,0.0623428132230847,0.0
"Banana Latundan, ripe*",0.05797746333519068,0.05761726418899964,0.0
"Banana Saba, ripe*",0.012169289111111016,0.008088874395995628,0.0
Calamansi,-0.04920753810418825,-0.05183073457738087,-0.0
"Mango Carabao, green",0.2742454312094288,0.2616917167455937,0.5122979487860424
Pineapple Hawaiian*,0.2547820135293604,0.2512543563174623,0.16720903500540502
Watermelon*,-0.19983686476017962,-0.204398719924946,-0.5337602829274655
Cabbage,-0.008412187818445972,-0.012153430095083876,-0.0
Pechay Baguio [Chinese cabbage],0.00010471501839887753,-0.001538773704603532,-0.0
Chicken egg*,-0.00020090245916325132,-0.0003920291277184952,-0.0
Carrots,-0.052516339007876424,-0.047861403709140236,-0.0
Cassava,0.18925983457139245,0.18743601381869116,0.0
"Gabi Cebu, for ginataan [Taro (cocoyam)]",0.0314532388051801,0.03409680824000237,-0.0
"Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",-0.1102171500479338,-0.12088783321226437,-0.0
Sweet Potato,-0.0237543771610518,-0.0261604995040442,-0.0
White/Irish Potato,-0.020358835370052782,-0.019350756636964242,-0.0
Bangus [Milkfish],0.022851098277041782,0.030031379217441055,-0.0
Bisugo [Threadfin bream],0.15980967550987618,0.15567239328701313,0.0
Galunggong [Roundscad],0.08870217530721133,0.08210858883605977,0.0
Pusit [Squid],-0.1570570186511947,-0.15518482940434492,-0.07326899595343755
Tilapia,-0.03657143234793058,-0.04039134613352405,-0.0
