,Linear Regression,Ridge Regression,Lasso Regression
Habitchuelas [Snap beans],0.017526405778749587,0.03934855743308176,0.0
Stringbeans,-0.02823410425443382,-0.03472264900525061,-0.0
Sweet Peas,-0.22649105345125886,-0.2170178996783995,-0.036729115650822645
Corngrits Yellow,0.017422453432253307,0.025043341563888835,0.0
Regular Milled Rice (RMR),-0.05099732980167062,-0.06654029498622403,-0.0
Rice Premium,-0.11243410938928282,-0.09382556301883162,-0.0
Rice Special,-0.1605913621586119,-0.16107592653999647,-0.0
Well Milled Rice (WMR),-0.11561354085076582,-0.11186106406082008,-0.0
Garlic,-0.019453556545358863,-0.0777624623492969,-0.09575114100585284
Ginger Hawaiian,-0.1496801851625748,-0.13604920195698428,-0.0
Onion Red Creole (Bermuda Red),-0.03466844786064792,-0.028552464350714457,0.0313493074654298
Onion White (Yellow Granex),0.08813115023885434,0.08609631114514008,0.0
"Onion native (red shallot), multiplier",-0.17354518067308256,-0.12989606394978853,0.0
Pepper bell,0.20740877357093326,0.05729829027757895,0.0
"Pepper finger, green",-0.019491666025495808,-0.04798025734010426,0.0
Ampalaya [Bitter gourd],-0.01903645699389641,-0.04503016104434557,0.0
Chayote,-0.06485329577801614,-0.0835893031432784,-0.0
"Eggplant long, purple",0.00895421881096646,-0.01286644546224084,0.0
Okra,-0.04363061482218997,-0.059383796902793023,-0.0
Squash,-0.07050971992201921,-0.039835144922723685,-0.0
Tomato,0.029740320163624503,0.012675380223519023,0.0
"Banana Lakatan, ripe*",0.10274650663815499,0.014862587305207065,0.01369884970809688
"Banana Latundan, ripe*",0.07868602413201231,0.04381808227690445,0.0
"Banana Saba, ripe*",0.026111884562620227,-0.010133734563463101,0.0
Calamansi,-0.03502764436240106,0.006335925414379669,0.0
"Mango Carabao, ripe",-0.061223562780866575,-0.101802107569261,-0.023489230211252706
Cabbage,-0.13901995594653924,-0.1273892898880341,-0.0
Cauliflower,-0.0532544132984023,-0.025557988985478848,0.0
Pechay Baguio [Chinese cabbage],-0.14154035592341108,-0.10204899733594121,-0.0
Pechay native,-0.11135538346162241,-0.11618056367087308,-0.0
Carrots,0.010937612527550945,0.07212633174354076,0.0
Sweet Potato,0.00026629495397251354,0.003972530441551335,-0.0
White/Irish Potato,-0.11610835501885917,-0.13076922378588723,-0.0
Alumahan [Indian mackerel],-0.16549710877230475,-0.2355059698530329,-0.10701198339891818
Bangus [Milkfish],-0.09501844728624038,-0.17703932053522733,-0.1239088414786731
Galunggong [Roundscad],0.10649767413126299,0.08406110027298186,0.0
Tilapia,-0.4326798704197751,-0.3564564972315825,-0.6777101160202607
