,Linear Regression,Ridge Regression,Lasso Regression
Habitchuelas [Snap beans],-0.05071804715910839,-0.04640262145756342,-0.0
Regular Milled Rice (RMR),-0.05164665070649069,-0.050584534709519915,-0.0
Rice Premium,-0.0760911918788705,-0.07636436706193922,-0.0
Rice Special,-0.0844340318963745,-0.0909470202813889,-0.0
Well Milled Rice (WMR),-0.06534739011473771,-0.06695401822096804,-0.0
Onion Red Creole (Bermuda Red),0.1148731441983464,0.10974319472139141,-0.0
"Pepper finger, green",-0.0764798827244386,-0.07231538312068811,-0.0
Ampalaya [Bitter gourd],-0.027578535348673376,-0.027911124339749002,-0.0
Chayote,-0.031240957926813587,-0.031701530622263274,-0.0
"Eggplant long, purple",-0.04764032468417853,-0.0450084010403896,-0.0
Squash,-0.012736735125309203,-0.014997729311488567,-0.0
Tomato,-0.053920077564166724,-0.05474118262243966,-0.0
"Banana Lakatan, ripe*",0.06601546735892376,0.05717717670371125,0.0
"Banana Latundan, ripe*",0.07545880645688406,0.06903675083177131,0.0
Calamansi,0.030448574838334852,0.030115695741764016,-0.0
"Mango Carabao, ripe",0.0007413373314272017,0.0025532522906633603,-0.0
Cabbage,-0.13724652327802642,-0.13604014875619727,-0.0
Pechay Baguio [Chinese cabbage],-0.14855507798251802,-0.14853318011013072,-0.0
Pechay native,-0.02011830583949723,-0.017708453603487273,-0.0
Chicken egg*,-0.005075982410520842,-0.0050004268340871835,-0.0
"Gabi Cebu, for ginataan [Taro (cocoyam)]",-0.02776848216072735,-0.03223284990051119,0.0
Sweet Potato,0.01762775715898548,0.018738064731501365,-0.0
Alumahan [Indian mackerel],-0.07900650402410653,-0.08921026161513632,-0.0
Bangus [Milkfish],-0.015110964039494338,-0.026874127290323777,-0.0
Bisugo [Threadfin bream],0.24017367036592357,0.25869152677597407,0.39452200575780516
"Crab, Alimasag [Blue crab]",-0.0057657572620794404,-0.006325719122129661,-0.0
"Dalagang-Bukid, lapad [Caesio]",0.16124662506374524,0.152628122182551,0.061140559006755045
Dilis [Anchovies],-0.15561385214822032,-0.1597949131973252,-0.7817457000998317
Galunggong [Roundscad],-0.06599077471744096,-0.08497213100483259,-0.0
Hasa-hasa [Indo-Pacific mackerel],0.11394439309371879,0.11496070413455645,0.0
Matang-baka [Big-eyed scad],0.0726577214342516,0.05706221608145415,-0.0
Pusit [Squid],-0.21659498732626292,-0.2165927534360857,-0.0
Salay-salay [Crevalle],-0.291547401030394,-0.2932930783485871,-0.42506256706120593
"Shrimp, Suaje [Endeavor prawn]",-0.2155433390117238,-0.1998226432856943,-0.2507670989478303
"Shrimp, Sugpo [Tiger prawn]",0.15258807818054676,0.14181219535132344,0.026273355562805585
Talakitok [Cavalla],-0.05615545785146814,-0.054088777977473745,-0.0
Tambakol [Yellowfin tuna],-0.17327428410163037,-0.1613790098547388,-0.0
Tilapia,-0.11334822226381781,-0.11208686488129573,-0.0
Tulingan [Frigate tuna],0.009440172401366458,0.009022580667744834,0.0
White Shrimp,0.03578761321468446,0.03214862537646904,-0.0
