,Linear Regression,Ridge Regression,Lasso Regression
Stringbeans,-0.005505507370580465,0.013050309875981474,0.0
Corngrits Yellow,0.010385935382724872,0.004702024638246191,0.0
Regular Milled Rice (RMR),-0.007757818278993294,-0.026953597765004576,-0.0
Rice Premium,-0.016099764165247648,-0.04158354902919465,-0.0
Rice Special,-0.05184516433262509,-0.049361771351831445,-0.0
Well Milled Rice (WMR),-0.08852836734516475,-0.04680885283795552,-0.0
Ginger Hawaiian,0.04705664903052076,0.01388692025394378,0.017578335464264686
Ampalaya [Bitter gourd],0.04385885450079595,0.04118336968313696,0.0
"Eggplant long, purple",0.006512550372064946,0.010780519977318749,-0.0
Okra,0.06858522870735106,0.055009069702789376,0.0
"Patola [Dishrag gourd], native",-0.03339085106566398,-0.03043249706846605,-0.0
Squash,-0.0006739924977265127,-0.003144684222036339,-0.0
Tomato,-0.007740737736814685,0.05765000413799737,0.0
Upo [Bottle gourd],0.014250987094174817,0.020657486978003785,0.0
"Banana Latundan, ripe*",0.06721133141282003,0.0033449403063851857,0.0
"Banana Saba, ripe*",0.05045980362543776,0.016573200460055906,0.0
Calamansi,-0.028297926375328505,0.004189914043007337,-0.0
Mandarin Szinkom,0.007406264399931914,0.019545670467191592,-0.0
Papaya Hawaiian*,-0.06539064264246035,-0.05423157569548438,-0.0
Pineapple Hawaiian*,-0.09806215756388374,-0.07036161528758693,-0.0
Watermelon*,0.1686342609150559,0.19599573471245513,0.17047996784995578
Pechay native,-0.10040867302674976,-0.048570140688890984,-0.0
Carrots,-0.11218278834149366,0.019546008539676057,0.0
Cassava,-0.09372760231107016,-0.06789343551437325,-0.0
Radish,0.030556232971068086,0.031458227155482604,0.0
Sweet Potato,-0.02518824451642825,0.014405510069446,0.0
Alumahan [Indian mackerel],-0.2548003261887214,-0.11791978655187288,-0.0
Bangus [Milkfish],-0.08522834804190187,-0.023894238224670405,-0.0
Bisugo [Threadfin bream],0.06449147669681982,0.1056054050614036,0.0
"Crab, Alimasag [Blue crab]",-0.013384010234347536,-0.1667707393018804,-0.0
"Dalagang-Bukid, bilog [Caesio]",0.04246082011905664,0.08206498747976032,0.0
"Dalagang-Bukid, lapad [Caesio]",-0.06923573721838011,0.0019394429401986824,0.0
Dilis [Anchovies],-0.057741326109931,0.028322842502674857,-0.0
Galunggong [Roundscad],-0.2450180578323866,-0.16407365767773371,-0.2068767040774248
Hasa-hasa [Indo-Pacific mackerel],0.38460195774139694,0.1667840170414256,0.03859643623532028
Pusit [Squid],0.13396552407518897,0.015449297721960839,0.0
Salay-salay [Crevalle],0.012883472534871796,-0.043345408671507185,-0.0
Sapsap [Slipmouth],0.1046237892709604,-0.05458854010992885,0.0
"Shrimp, Suaje [Endeavor prawn]",-0.045498051574093375,-0.24462234962420926,-0.27448015545632326
Talakitok [Cavalla],-0.18238692915217697,0.03324395663052779,0.039643304257153636
Tambakol [Yellowfin tuna],-0.21274969966432622,-0.06557565201899779,-0.0
Tamban [Indian sardines],0.0473877547420977,0.0466074314398813,0.0
Tilapia,-0.05410790054478558,-0.04822898883815532,-0.0
Tulingan [Frigate tuna],0.3682844127194108,0.24160051923355183,0.18702229377534912
