,Linear Regression,Ridge Regression,Lasso Regression
Corngrits White,-0.15909267486849124,-0.15316492820241334,-0.0
Regular Milled Rice (RMR),-0.37654228418856495,-0.35249432668132374,-0.0
Rice Premium,-0.9116422936188976,-0.7675491126790761,-0.0
Well Milled Rice (WMR),-0.5417636694506368,-0.46005750804252965,-0.0
Squash,0.21400779366504102,0.15504609232608282,0.0
Cabbage,1.0731516642397019,0.8281063481950665,0.0
Sweet Potato,-0.03370185519738406,-0.03531848144717199,0.0
Alumahan [Indian mackerel],0.014273017395391416,-0.028276491352763555,-0.0
Bisugo [Threadfin bream],0.025993178764695587,0.10865192570971116,0.7105030704337107
"Dalagang-Bukid, bilog [Caesio]",0.5393577028856384,0.40133567815403404,0.0
Dilis [Anchovies],0.07870640095181987,0.11039182160070715,0.0
Galunggong [Roundscad],0.311667989005985,0.27271669722572844,0.0
Lapu-lapu [Grouper],-0.12763516578185735,-0.09653879799504672,0.0
Matang-baka [Big-eyed scad],-0.017766088302226958,-0.0072207589739252676,0.0
Pusit [Squid],0.11106522627517172,0.09899869252612259,-0.0
Salay-salay [Crevalle],-0.26962472525392484,-0.1918899555612592,0.0
Sapsap [Slipmouth],0.05772745841073718,0.02728030568129114,-0.06863168091243557
Talakitok [Cavalla],-0.7309402764847562,-0.6331771513977249,-0.32036052827951017
Tambakol [Yellowfin tuna],-0.04080973906264881,-0.033288120107022756,0.0
Tamban [Indian sardines],0.8911707582717598,0.6912679225111173,0.0
Tulingan [Frigate tuna],-0.12501702770323359,-0.13946974044321375,-0.14232107064127453
