,Linear Regression,Ridge Regression,Lasso Regression
Habitchuelas [Snap beans],-0.005137499073986978,-0.005352580820321199,-0.0
Regular Milled Rice (RMR),-0.10037445474360861,-0.0983099614249986,-0.0
Rice Premium,-0.12265885069298246,-0.12084942565804761,-0.0
Rice Special,-0.19956237491620482,-0.19397650796466614,-0.0
Well Milled Rice (WMR),-0.11032008560419762,-0.1082712926301578,-0.0
Copra Resecada,0.020221314806565648,0.013633397339732678,-0.0
Ginger Hawaiian,-0.15869078696718675,-0.16081272795361407,-0.18183120675193415
Onion Red Creole (Bermuda Red),-0.017509227242584958,-0.0211956058124933,0.0
Pepper bell,-0.13508528816001067,-0.13465090090075993,-0.1544857432180719
Ampalaya [Bitter gourd],0.01718248459193733,0.014166709432358551,-0.0
Chayote,-0.0940337899034185,-0.08997234213356561,0.0
"Eggplant long, purple",0.060149961772555466,0.06212429379962636,0.0
Tomato,-0.14606538587004955,-0.1418088653513757,-0.0
"Banana Saba, ripe*",0.20920544839609082,0.2036093596980954,0.0
Calamansi,0.03978441024397736,0.03725555484114168,-0.0
Cabbage,-0.2115181175335725,-0.19997797494400368,-0.0
Pechay native,0.23430104932430673,0.22401021211056202,0.0
Carrots,-0.0031384842909648603,-0.001191710844718516,-0.0
Cassava,-0.09665021775555639,-0.09319282219473352,-0.0
Sweet Potato,-0.018554500470099364,-0.01648633240228762,0.0
White/Irish Potato,-0.4334638036521165,-0.4207899857167561,-0.6099312851933086
Dilis [Anchovies],0.17816523278396018,0.17566918784086685,0.0
Galunggong [Roundscad],-0.07396358187520825,-0.07471505004558845,-0.0
Pusit [Squid],-0.008574303127896196,-0.005537220542396137,-0.0
Tamban [Indian sardines],-0.061621123430884744,-0.06426536983894482,-0.09772363484535439
