,Linear Regression,Ridge Regression,Lasso Regression
Habitchuelas [Snap beans],-0.032375137542544126,-0.03316575929208766,-0.0
Stringbeans,-0.0120358976122299,-0.012640073086120578,-0.0
Corngrain Yellow,0.06691791073589586,0.06767960503753435,0.0
Corngrits Yellow,0.01688013901074435,0.01815722217995335,0.0
Regular Milled Rice (RMR),0.024587368979715238,0.020657758939046006,0.0
Rice Premium,-0.060159910923330236,-0.06026644689825642,-0.0
Well Milled Rice (WMR),-0.026951246476486324,-0.02385724087114216,0.0
Copra Corriente,-0.15199120925475246,-0.14851743559893532,-0.0
Onion Leeks,-0.11765318386136694,-0.12273926702299609,-0.0
Onion Red Creole (Bermuda Red),0.05897535493614007,0.05491564084826356,0.0
Pepper bell,-0.08425867687531924,-0.0816303806696641,-0.18985950058711032
Ampalaya [Bitter gourd],-0.08694158667389029,-0.08432961506151902,-0.0
Chayote,-0.11009234456330112,-0.10729971220990948,-0.0
"Eggplant long, purple",-0.0904922479987031,-0.08961470331482357,-0.18857352743946784
Squash,-0.011328365326703607,-0.0112496771281538,-0.0
Tomato,-0.011013483339533102,-0.009645180376063354,-0.0
"Banana Bungulan, ripe*",0.07635461873643537,0.07880563389803963,0.0
"Banana Latundan, ripe*",0.10149774260663429,0.10165182152760191,0.0
Muskmelon*,-0.23769002045662982,-0.23643109723097944,-0.23748971492480503
Pineapple Hawaiian*,-0.044870592916084646,-0.04469684423206269,-0.0
Cabbage,-0.10391014133244716,-0.10468606178137177,-0.0
Pechay Baguio [Chinese cabbage],0.0664543632984821,0.06353544356724057,0.0
Pechay native,-0.026521729770998995,-0.028064954640988224,-0.0
Carrots,0.011371395834566048,0.009439009189206558,-0.0
Sweet Potato,-0.019837042227701062,-0.019784251642068172,-0.0
White/Irish Potato,-0.21681566773046934,-0.21779009357979148,-0.0
Alumahan [Indian mackerel],-0.13836865091187908,-0.14414800720157162,-0.0
Bangus [Milkfish],-0.1361746450776908,-0.12721530348274024,-0.0
Bisugo [Threadfin bream],0.3396555644284316,0.32474233029783356,0.0
Dilis [Anchovies],-0.08291703716796824,-0.08612802228247685,-0.0
Galunggong [Roundscad],-0.10258241548059621,-0.10927866639647232,-0.0
Kalaso [Lizard fish],-0.0828439065326724,-0.08509844176413053,-0.0
Pusit [Squid],-0.09220354097063482,-0.0791166635614885,-0.0
Sapsap [Slipmouth],0.15946713787558567,0.16243067321009724,0.0
"Shrimp, Suaje [Endeavor prawn]",-0.3838973204425485,-0.3786962179532627,-0.6681735090596804
Tamban [Indian sardines],-0.3119164982872754,-0.30441460749195215,-0.07118004595544132
Tilapia,0.09177082937707216,0.09208634151140538,0.02586514993118813
Tulingan [Frigate tuna],0.1431989241723816,0.142166766835629,0.06346460221045379
