,Linear Regression,Ridge Regression,Lasso Regression
Habitchuelas [Snap beans],0.4960305908216101,0.47912736764034464,0.0
"Kidney Beans, white",0.1467493228600516,0.09065098842880906,-0.0
Stringbeans,-0.03121471887806182,-0.05049535879128486,-0.0
Corngrits White,-0.25145927480745267,-0.23519322907710144,-0.0
Corngrits Yellow,-0.0032036746130827388,-0.0023158726487636228,-0.0
Regular Milled Rice (RMR),-0.23914699067967884,-0.23850714688903907,-0.0
Rice Premium,-0.3664433748615243,-0.35726405738773087,-0.0
Rice Special,-0.44343472886659874,-0.40998341890985174,-2.846014326052846
Well Milled Rice (WMR),-0.3290000606510572,-0.3422625287147655,-0.0
Ginger Hawaiian,0.08231957786310873,0.05607096023342528,-0.05187742266527437
Onion Leeks,-0.1904241223025955,-0.15947815160827983,-0.0
Onion Red Creole (Bermuda Red),0.06393014568162342,0.07117135350963755,0.0
Ampalaya [Bitter gourd],0.003624739414438472,-0.0011890988164036664,0.0
Chayote,-0.1370346863178646,-0.11464207872012169,-0.0
"Eggplant long, purple",0.36849104552908296,0.28665377057332486,0.0
Squash,0.011220637646334028,0.007493428502336044,0.0
Tomato,-0.2911221431612674,-0.25119002434979276,-0.0
"Banana Latundan, ripe*",-0.19317942438148455,-0.23893833270691195,-0.0
Calamansi,0.151302423468244,0.1362402782206369,0.22977493730960405
"Mango Carabao, ripe",0.38324239977854224,0.2753484895212829,0.0
Cabbage,-0.055146567420637956,-0.14210725109270517,-0.0
Celery,-0.46622798643624985,-0.4036202961181312,-0.48020336281592063
"Gabi Cebu, for ginataan [Taro (cocoyam)]",0.1257035007039329,0.13334081892878116,0.0
Sweet Potato,0.3368780816603737,0.3680737019465677,0.0
White/Irish Potato,-0.3062096221809222,-0.2941539896139554,-0.0
Alumahan [Indian mackerel],0.35490353313478806,0.3946440949633259,0.0
Bangus [Milkfish],-0.09482740199436254,-0.16201037726840284,-0.0
Galunggong [Roundscad],0.17977627683415212,-0.05100690459922391,0.0
Hasa-hasa [Indo-Pacific mackerel],0.09732077830962438,0.09418418906433493,0.0
Matang-baka [Big-eyed scad],0.4756491251594234,0.48493719715843886,0.14045539925434275
Pusit [Squid],-0.0813270675848606,0.08148898253160763,0.0
Salay-salay [Crevalle],-0.14447714113855675,-0.1604834002649844,-0.0
Tambakol [Yellowfin tuna],0.2291342607799272,0.20190382229973808,0.20891851848682907
Tamban [Indian sardines],0.20264564922715445,0.2043702911071707,0.0
Tilapia,-0.29539604448281453,-0.24436675881658826,-0.0
Tulingan [Frigate tuna],-0.4953618630594059,-0.46319292950971425,-0.0
