,Linear Regression,Ridge Regression,Lasso Regression
Stringbeans,0.052662881795695574,0.09541752116767219,0.0
Corngrits White,0.0973547722448568,0.004160579301543621,0.0
Corngrits Yellow,-0.2817064932501074,-0.21776039941346464,-0.0
Regular Milled Rice (RMR),-0.8479616339009317,-0.9098302635101387,-0.0
Rice Premium,-1.2983924185219489,-1.1154944236013455,-3.0191950994375607
Well Milled Rice (WMR),-0.9889876041356646,-0.9172093928085159,-0.0
Ginger Hawaiian,-0.0004963588617546131,-0.029110408461435977,0.0
Onion Red Creole (Bermuda Red),0.4776669491963537,0.4759564543212917,0.0
Pepper bell,-0.04499489112862112,0.06623875680541047,-0.03414085406497493
"Eggplant long, purple",0.07857893314601645,0.24559737163919992,0.14301801930143931
Tomato,-0.0013994746901306557,-0.04657641676593435,-0.0
Cabbage,-0.2705472835450586,-0.1524087961623405,-0.0
Chicken egg*,-0.13296977913732955,-0.11145599712152136,-0.0
Carrots,-0.28983993398464286,-0.21929366197056327,-0.0
Radish,-0.09847210686609827,-0.11305726513688932,-0.0
Sweet Potato,0.15827162929136024,-0.06671615732633393,-0.0
White/Irish Potato,0.24045248319106194,0.3197602228970772,0.0
Alumahan [Indian mackerel],0.31266059906767146,0.26263790306043666,0.0
Bangus [Milkfish],0.4618793530360876,0.2536123874034961,0.0
Dilis [Anchovies],-0.12124512789341843,-0.051287606419912146,0.0
Galunggong [Roundscad],0.16067996778072766,0.4862098836104442,0.0
Matang-baka [Big-eyed scad],-0.12964596999725359,-0.23150063661812953,0.0
Tambakol [Yellowfin tuna],-0.9634458711367638,-0.8518410834776441,-0.4160377563707174
Tulingan [Frigate tuna],-0.09729852477281013,-0.25128844683218493,0.0
